,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
0,ALABAMA5,Under 18,3578.0,296.0,959.0,13.0,22.0,111.0,150.0,212.0,627.0,112.0,8.0,608.0,2.0,19.0,0.0,92.0,82.0,88.0,0.0,9.0,130.0,0.0,11.0,26.0,131.0,24.0,250.0,0.0,851.0,0.0,0.0,171.0,3070799.0,ALABAMA,2018
1,ALABAMA5,Total all ages,126404.0,4761.0,15609.0,214.0,245.0,919.0,3383.0,2352.0,12332.0,840.0,85.0,13027.0,768.0,2103.0,112.0,1756.0,1004.0,1585.0,0.0,446.0,8217.0,0.0,420.0,6391.0,1434.0,5300.0,1815.0,34.0,61622.0,0.0,0.0,,,ALABAMA,2018
2,ALASKA,Under 18,1687.0,206.0,439.0,4.0,35.0,21.0,146.0,96.0,218.0,103.0,22.0,374.0,5.0,6.0,6.0,4.0,109.0,18.0,0.0,34.0,183.0,0.0,3.0,35.0,65.0,1.0,10.0,0.0,184.0,0.0,5.0,32.0,733747.0,ALASKA,2018
3,ALASKA,Total all ages,30620.0,2686.0,3763.0,38.0,149.0,367.0,2132.0,602.0,2392.0,726.0,43.0,4943.0,154.0,201.0,54.0,120.0,1103.0,387.0,2.0,263.0,1046.0,0.0,174.0,3148.0,592.0,47.0,843.0,17.0,11072.0,0.0,5.0,,,ALASKA,2018
4,ARIZONA,Under 18,20478.0,1127.0,3298.0,16.0,65.0,388.0,658.0,535.0,2414.0,325.0,24.0,3866.0,21.0,77.0,12.0,87.0,1631.0,247.0,2.0,221.0,3239.0,1.0,248.0,141.0,1060.0,74.0,1424.0,27.0,3022.0,0.0,653.0,91.0,6586181.0,ARIZONA,2018
5,ARIZONA,Total all ages,256785.0,11628.0,32622.0,281.0,328.0,1940.0,9079.0,3883.0,26621.0,1711.0,407.0,25198.0,1121.0,2055.0,854.0,1087.0,10177.0,3093.0,349.0,1386.0,32272.0,2.0,2448.0,19200.0,7082.0,11514.0,14723.0,567.0,78700.0,54.0,653.0,,,ARIZONA,2018
6,ARKANSAS,Under 18,7697.0,427.0,1423.0,6.0,48.0,82.0,291.0,291.0,1030.0,93.0,9.0,1668.0,18.0,33.0,4.0,187.0,311.0,114.0,1.0,17.0,925.0,0.0,3.0,50.0,158.0,74.0,579.0,0.0,1446.0,0.0,259.0,241.0,2640116.0,ARKANSAS,2018
7,ARKANSAS,Total all ages,120240.0,4650.0,12516.0,141.0,238.0,474.0,3797.0,1748.0,10118.0,594.0,56.0,11688.0,820.0,852.0,49.0,1736.0,1544.0,1112.0,136.0,83.0,17954.0,6.0,434.0,5761.0,1265.0,5035.0,2301.0,303.0,51736.0,0.0,259.0,,,ARKANSAS,2018
8,CALIFORNIA,Under 18,42958.0,7210.0,7484.0,84.0,245.0,2937.0,3944.0,2864.0,3048.0,1402.0,170.0,8026.0,37.0,118.0,17.0,915.0,2030.0,2748.0,12.0,876.0,2967.0,8.0,1.0,474.0,930.0,522.0,1007.0,88.0,6836.0,0.0,652.0,700.0,39431921.0,CALIFORNIA,2018
9,CALIFORNIA,Total all ages,1093080.0,110236.0,97247.0,1409.0,2539.0,16670.0,89618.0,35230.0,42468.0,18020.0,1529.0,81812.0,4118.0,6105.0,921.0,16227.0,16652.0,28290.0,6418.0,8901.0,219251.0,403.0,268.0,127250.0,5948.0,58286.0,3451.0,7290.0,293353.0,1.0,652.0,,,CALIFORNIA,2018
10,COLORADO,Under 18,17906.0,758.0,3161.0,18.0,90.0,211.0,439.0,338.0,2455.0,314.0,54.0,1895.0,4.0,78.0,13.0,22.0,700.0,279.0,2.0,145.0,2257.0,0.0,37.0,217.0,1056.0,0.0,1762.0,0.0,4747.0,0.0,773.0,180.0,4952541.0,COLORADO,2018
11,COLORADO,Total all ages,193216.0,7832.0,24136.0,195.0,549.0,1166.0,5922.0,2301.0,19199.0,2437.0,199.0,16477.0,688.0,2243.0,112.0,526.0,4843.0,2313.0,376.0,521.0,16172.0,7.0,2466.0,20353.0,7007.0,144.0,6887.0,549.0,78790.0,1.0,773.0,,,COLORADO,2018
12,CONNECTICUT,Under 18,7106.0,325.0,1359.0,6.0,27.0,153.0,139.0,206.0,862.0,273.0,18.0,1763.0,10.0,41.0,1.0,135.0,284.0,153.0,0.0,64.0,489.0,1.0,34.0,18.0,18.0,0.0,1460.0,0.0,950.0,0.0,1.0,104.0,3457743.0,CONNECTICUT,2018
13,CONNECTICUT,Total all ages,95709.0,3399.0,12312.0,79.0,212.0,870.0,2238.0,1624.0,9834.0,778.0,76.0,17370.0,582.0,921.0,140.0,692.0,1640.0,1088.0,184.0,360.0,8087.0,10.0,1363.0,7484.0,96.0,11.0,10505.0,41.0,29423.0,0.0,1.0,,,CONNECTICUT,2018
14,DELAWARE,Under 18,2851.0,302.0,547.0,2.0,15.0,86.0,199.0,134.0,370.0,41.0,2.0,788.0,4.0,48.0,2.0,62.0,114.0,82.0,1.0,28.0,279.0,1.0,0.0,0.0,49.0,1.0,228.0,0.0,283.0,0.0,32.0,52.0,964106.0,DELAWARE,2018
15,DELAWARE,Total all ages,28742.0,1965.0,5337.0,33.0,77.0,391.0,1464.0,688.0,4511.0,116.0,22.0,6121.0,210.0,1348.0,163.0,324.0,755.0,322.0,121.0,107.0,3707.0,9.0,185.0,427.0,669.0,323.0,1164.0,164.0,5289.0,0.0,32.0,,,DELAWARE,2018
16,DISTRICT OF COLUMBIA6,Under 18,505.0,92.0,34.0,0.0,0.0,64.0,28.0,0.0,32.0,2.0,0.0,111.0,0.0,1.0,0.0,5.0,12.0,13.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,53.0,0.0,171.0,0.0,0.0,2.0,0.0,WASHINGTON DC,2018
17,DISTRICT OF COLUMBIA6,Total all ages,13682.0,185.0,86.0,0.0,2.0,113.0,70.0,0.0,76.0,9.0,1.0,411.0,3.0,3.0,0.0,14.0,35.0,42.0,0.0,20.0,290.0,0.0,2.0,9.0,817.0,49.0,300.0,13.0,11403.0,0.0,0.0,,,WASHINGTON DC,2018
18,"FLORIDA5, 7",Under 18,48213.0,3218.0,12686.0,46.0,253.0,1090.0,1829.0,3040.0,7380.0,2209.0,57.0,8152.0,48.0,401.0,32.0,119.0,890.0,799.0,0.0,290.0,5399.0,4.0,0.0,69.0,405.0,0.0,0.0,0.0,15701.0,0.0,0.0,596.0,21278278.0,FLORIDA,2018
19,"FLORIDA5, 7",Total all ages,715424.0,34907.0,89456.0,712.0,1936.0,5761.0,26498.0,14757.0,66157.0,8295.0,247.0,80570.0,1989.0,11207.0,1086.0,1632.0,6129.0,6604.0,1920.0,2862.0,134142.0,123.0,0.0,32127.0,10590.0,0.0,0.0,0.0,300080.0,0.0,0.0,,,FLORIDA,2018
20,GEORGIA,Under 18,15400.0,836.0,3161.0,50.0,24.0,233.0,529.0,590.0,2311.0,228.0,32.0,2451.0,32.0,74.0,1.0,241.0,467.0,391.0,4.0,264.0,2053.0,2.0,122.0,139.0,207.0,14.0,1387.0,77.0,3328.0,6.0,143.0,258.0,6742246.0,GEORGIA,2018
21,GEORGIA,Total all ages,200643.0,7920.0,22314.0,307.0,168.0,990.0,6455.0,2689.0,18597.0,913.0,115.0,16260.0,1573.0,2298.0,127.0,2147.0,2919.0,2619.0,322.0,1629.0,37291.0,152.0,2607.0,23449.0,1467.0,1273.0,9230.0,366.0,64518.0,19.0,143.0,,,GEORGIA,2018
22,HAWAII,Under 18,1762.0,104.0,309.0,1.0,9.0,46.0,48.0,32.0,233.0,40.0,4.0,307.0,1.0,3.0,0.0,51.0,7.0,12.0,0.0,31.0,337.0,0.0,0.0,11.0,49.0,0.0,18.0,0.0,413.0,0.0,109.0,2.0,1148121.0,HAWAII,2018
23,HAWAII,Total all ages,24487.0,828.0,2413.0,40.0,75.0,204.0,509.0,290.0,1844.0,252.0,27.0,2968.0,51.0,109.0,0.0,449.0,92.0,185.0,104.0,125.0,1873.0,149.0,17.0,4288.0,319.0,0.0,463.0,0.0,9945.0,0.0,109.0,,,HAWAII,2018
