,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
25,Total all ages,61668,1519,6690,19,86,107,1307,1026,5422,182,60,5200,169,373,52,250,981,437,14,266,7591,32.0,733,8109,3158,511,2006,9,23230,0.0,338,,,IDAHO,2013
26,Under 18,20391,2073,3825,40,0,1117,916,637,2298,880,10,2939,3,11,0,14,822,770,8,42,3984,369.0,6,13,133,0,2727,0,2490,0.0,162,2.0,2870763.0,ILLINOIS,2013
27,Total all ages,120760,6076,16792,363,9,2541,3163,1932,12315,2487,58,17566,188,202,1,72,3096,3438,1424,562,35001,2019.0,311,3868,614,0,11639,44,17685,0.0,162,,,ILLINOIS,2013
28,Under 18,15960,806,4251,11,31,213,551,529,3390,287,45,3016,11,49,4,114,606,201,6,188,1100,0.0,70,68,1434,107,1124,18,2347,123.0,317,138.0,3817113.0,INDIANA,2013
29,Total all ages,129146,6138,21723,158,167,1059,4754,2523,18047,1042,111,13541,755,1047,145,710,1464,1437,725,1057,12470,74.0,936,12295,7230,7454,4278,121,35090,139.0,317,,,INDIANA,2013
30,Under 18,12888,488,3820,2,27,85,374,470,3132,148,70,1692,14,35,9,37,720,143,2,68,982,0.0,3,97,966,162,1478,0,1766,0.0,406,198.0,2780814.0,IOWA,2013
31,Total all ages,101402,4055,15466,32,102,348,3573,1790,13079,457,140,8602,566,724,72,244,2069,711,113,224,9182,4.0,1279,9825,5181,11256,5515,38,25870,0.0,406,,,IOWA,2013
32,Under 18,5784,186,1368,3,26,19,138,138,1156,57,17,932,4,21,19,38,319,47,4,63,815,0.0,10,83,627,4,252,0,992,0.0,0,238.0,2068879.0,KANSAS,2013
33,Total all ages,78182,2145,7209,63,130,206,1746,867,5904,383,55,10665,370,940,202,380,2002,594,245,246,8130,3.0,250,9730,4660,355,2337,0,27719,0.0,0,,,KANSAS,2013
34,Under 18,6364,339,2351,6,17,170,146,460,1723,84,84,1013,18,10,6,163,165,94,3,54,697,2.0,3,69,42,98,284,7,944,0.0,2,369.0,4315933.0,KENTUCKY,2013
35,Total all ages,178212,3687,22506,129,187,1275,2096,3669,18060,607,170,11175,1051,1063,428,1902,1096,1007,298,418,21830,15.0,4891,21946,260,17041,4715,212,62669,0.0,2,,,KENTUCKY,2013
36,Under 18,16666,1122,4274,11,65,179,867,854,3150,234,36,3337,14,18,1,148,502,266,14,129,1603,47.0,40,34,103,35,2168,47,2610,16.0,138,138.0,3114237.0,LOUISIANA,2013
37,Total all ages,149789,8563,28322,205,263,954,7141,4353,23026,843,100,17955,659,1643,158,1273,2758,1815,529,760,20727,83.0,1077,6182,1650,3118,7929,417,43979,54.0,138,,,LOUISIANA,2013
38,Under 18,4492,76,1166,0,16,20,40,183,913,50,20,639,5,9,0,19,286,17,0,52,501,0.0,4,51,727,2,135,0,753,0.0,50,179.0,1326033.0,MAINE,2013
39,Total all ages,49548,808,7749,17,82,177,532,1095,6358,250,46,5882,271,669,43,187,1255,304,49,222,5608,7.0,93,5826,3631,16,1663,7,15208,0.0,50,,,MAINE,2013
40,Under 18,15429,1172,3797,10,24,617,521,771,2547,376,103,2910,26,29,4,9,586,309,2,88,2406,11.0,15,71,590,2,647,13,2517,16.0,209,146.0,3899502.0,MARYLAND,2013
41,Total all ages,168692,6925,20773,166,207,2156,4396,4206,15382,926,259,18220,536,1041,191,95,2222,2384,759,578,34006,88.0,1828,14793,3265,80,3930,269,56212,288.0,209,,,MARYLAND,2013
42,Under 18,9366,1028,1789,3,17,245,763,419,1265,65,40,1876,16,24,1,163,461,161,1,53,382,0.0,62,57,639,201,712,1,1733,6.0,0,318.0,6411005.0,MASSACHUSETTS,2013
43,Total all ages,135362,10512,19719,50,270,1573,8619,3363,15672,560,124,21418,597,1490,133,1351,2864,1384,923,450,11206,15.0,1648,8381,3664,7256,6522,16,35755,58.0,0,,,MASSACHUSETTS,2013
44,Under 18,21241,1317,6003,8,87,453,769,980,4601,340,82,2980,18,257,16,202,619,410,5,160,2434,5.0,4,244,1957,12,754,0,3425,0.0,419,534.0,9198477.0,MICHIGAN,2013
45,Total all ages,251825,11591,32025,247,627,2104,8613,4885,25344,1547,249,26452,603,4326,1010,1614,2831,4035,295,837,34128,71.0,3578,27643,12941,367,7326,269,79464,0.0,419,,,MICHIGAN,2013
46,Under 18,25554,877,6154,7,91,344,435,449,5484,180,41,2585,26,136,4,351,1016,421,6,161,2693,2.0,11,203,2786,0,2604,23,3345,0.0,2150,326.0,5419634.0,MINNESOTA,2013
47,Total all ages,158799,5636,28649,91,564,1196,3785,2638,24895,1015,101,14880,984,2145,25,1895,3213,1736,721,1201,19056,33.0,685,21206,14072,0,10832,323,29357,0.0,2150,,,MINNESOTA,2013
48,Under 18,5549,131,1407,10,13,59,49,227,1122,50,8,754,2,34,1,49,103,95,3,13,424,6.0,248,51,72,39,870,3,1080,5.0,159,61.0,1289404.0,MISSISSIPPI,2013
49,Total all ages,72824,1404,8978,95,86,325,898,1245,7394,263,76,7220,374,954,437,480,673,705,149,187,8037,81.0,2684,7764,864,4197,4606,140,22602,129.0,159,,,MISSISSIPPI,2013
50,Under 18,23652,1002,5802,14,99,369,520,734,4764,240,64,3732,26,45,13,297,1011,349,5,366,2583,2.0,52,202,1412,25,1663,5,3934,0.0,1126,368.0,5567717.0,MISSOURI,2013
51,Total all ages,276973,9234,40261,238,232,1938,6826,5119,33284,1659,199,26760,1554,2601,299,2488,4637,3050,222,1509,35131,192.0,3156,23950,8090,586,11253,400,100474,0.0,1126,,,MISSOURI,2013
52,Under 18,5152,61,1165,0,3,2,56,86,1026,47,6,469,2,9,3,5,281,16,0,15,359,0.0,56,69,868,0,531,0,753,0.0,490,91.0,970435.0,MONTANA,2013
53,Total all ages,30089,837,4785,15,36,63,723,311,4251,209,14,3461,64,207,38,33,921,86,7,79,1958,0.0,288,4300,2876,0,3272,24,6363,0.0,490,,,MONTANA,2013
54,Under 18,9858,167,2477,0,20,59,88,175,2195,68,39,1481,9,68,9,123,652,100,0,121,1224,0.0,12,126,1072,0,631,2,1447,0.0,137,198.0,1659743.0,NEBRASKA,2013
55,Total all ages,69957,1912,9981,42,156,270,1444,753,8839,325,64,7233,385,1348,82,639,2103,956,164,502,10366,6.0,1248,9193,7177,0,2724,52,13749,0.0,137,,,NEBRASKA,2013
56,Under 18,10509,610,2170,4,29,160,417,386,1640,114,30,1688,0,29,5,100,478,141,103,64,922,4.0,31,50,1013,67,206,5,1959,0.0,864,31.0,2543547.0,NEVADA,2013
57,Total all ages,122498,6200,13930,117,202,1517,4364,2668,10380,744,138,13946,727,1416,393,1358,1586,1560,3550,1080,11207,10.0,925,8841,5968,175,1495,2073,45192,2.0,864,,,NEVADA,2013
58,Under 18,4736,92,671,0,7,29,56,69,579,11,12,807,9,22,4,76,317,7,0,45,558,3.0,1,36,604,212,178,0,1077,0.0,17,148.0,1174048.0,NEW HAMPSHIRE,2013
59,Total all ages,44554,871,5222,8,52,241,570,470,4637,85,30,5476,282,899,47,736,1242,96,48,164,4270,18.0,175,3700,3410,3263,1191,72,13355,0.0,17,,,NEW HAMPSHIRE,2013
60,Under 18,21459,1748,3723,16,40,920,772,780,2728,122,93,2068,29,67,6,460,850,661,18,224,4022,32.0,108,153,1053,0,1868,25,3344,0.0,1000,482.0,8585551.0,NEW JERSEY,2013
61,Total all ages,302955,10871,31093,232,289,3557,6793,5566,24643,666,218,22231,1255,2956,271,3073,3980,3969,1147,1180,50775,143.0,11168,23765,3753,0,13653,233,116439,0.0,1000,,,NEW JERSEY,2013
62,Under 18,4951,223,1806,16,12,10,185,156,1448,32,170,603,2,12,5,36,145,63,4,22,566,2.0,18,34,203,1,134,0,1072,0.0,0,50.0,1349565.0,NEW MEXICO,2013
63,Total all ages,65526,3149,10782,71,93,226,2759,1182,8740,217,643,6807,176,366,165,676,891,402,265,119,4773,7.0,782,6352,2404,79,1762,0,25569,0.0,0,,,NEW MEXICO,2013
