,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
546,2020,MONTANA,Over 18,256,0,256
547,2020,NEBRASKA,Over 18,128,64,192
548,2020,NEVADA,Over 18,13312,320,13632
549,2020,NEW HAMPSHIRE,Over 18,252,192,444
550,2020,NEW JERSEY,Over 18,366,50,416
551,2020,NEW MEXICO,Over 18,256,128,384
552,2020,NEW YORK,Over 18,128,0,128
553,2020,NORTH CAROLINA,Over 18,1856,1914,3770
554,2020,NORTH DAKOTA,Over 18,738,128,866
555,2020,OHIO,Over 18,1088,128,1216
556,2020,OKLAHOMA,Over 18,1088,192,1280
557,2020,OREGON,Over 18,1724,205,1929
558,2020,PENNSYLVANIA,Over 18,348,126,474
559,2020,RHODE ISLAND,Over 18,192,0,192
560,2020,SOUTH CAROLINA,Over 18,1201,371,1572
561,2020,SOUTH DAKOTA,Over 18,128,0,128
562,2020,TENNESSEE,Over 18,2752,256,3008
563,2020,TEXAS,Over 18,23679,8128,31807
564,2020,UTAH,Over 18,3712,332,4044
565,2020,VERMONT,Over 18,64,0,64
566,2020,VIRGINIA,Over 18,2855,860,3715
567,2020,WASHINGTON,Over 18,4480,790,5270
568,2020,WASHINGTON DC,Over 18,8,0,8
569,2020,WEST VIRGINIA,Over 18,2254,0,2254
570,2020,WISCONSIN,Over 18,5839,483,6322
571,2020,WYOMING,Over 18,117,0,117
572,2021,ALABAMA,Over 18,1023,0,1023
573,2021,ALASKA,Over 18,20,0,20
574,2021,ARIZONA,Over 18,325,41,366
575,2021,ARKANSAS,Over 18,384,0,384
576,2021,COLORADO,Over 18,3684,256,3940
577,2021,CONNECTICUT,Over 18,448,384,832
578,2021,DELAWARE,Over 18,180,120,300
579,2021,GEORGIA,Over 18,7475,1952,9427
580,2021,HAWAII,Over 18,320,0,320
581,2021,IDAHO,Over 18,192,64,256
582,2021,ILLINOIS,Over 18,384,192,576
583,2021,INDIANA,Over 18,2688,726,3414
584,2021,IOWA,Over 18,652,172,824
585,2021,KENTUCKY,Over 18,1036,930,1966
586,2021,LOUISIANA,Over 18,512,0,512
587,2021,MAINE,Over 18,128,0,128
588,2021,MARYLAND,Over 18,128,128,256
589,2021,MASSACHUSETTS,Over 18,1893,700,2593
590,2021,MICHIGAN,Over 18,2052,389,2441
591,2021,MINNESOTA,Over 18,6435,64,6499
592,2021,MISSISSIPPI,Over 18,153,0,153
593,2021,MISSOURI,Over 18,2432,0,2432
594,2021,MONTANA,Over 18,128,0,128
595,2021,NEBRASKA,Over 18,832,384,1216
596,2021,NEVADA,Over 18,13381,138,13519
597,2021,NEW HAMPSHIRE,Over 18,326,181,507
598,2021,NEW JERSEY,Over 18,64,64,128
599,2021,NEW MEXICO,Over 18,512,256,768
600,2021,NEW YORK,Over 18,256,0,256
601,2021,NORTH CAROLINA,Over 18,1856,1971,3827
602,2021,NORTH DAKOTA,Over 18,448,0,448
603,2021,OHIO,Over 18,690,1024,1714
604,2021,OKLAHOMA,Over 18,1426,256,1682
605,2021,OREGON,Over 18,2236,192,2428
606,2021,PENNSYLVANIA,Over 18,832,188,1020
607,2021,RHODE ISLAND,Over 18,296,0,296
608,2021,SOUTH CAROLINA,Over 18,1379,256,1635
609,2021,SOUTH DAKOTA,Over 18,466,0,466
610,2021,TENNESSEE,Over 18,6766,128,6894
611,2021,TEXAS,Over 18,22713,11001,33714
612,2021,UTAH,Over 18,2752,766,3518
613,2021,VERMONT,Over 18,146,0,146
614,2021,VIRGINIA,Over 18,3228,564,3792
615,2021,WASHINGTON,Over 18,3350,346,3696
616,2021,WASHINGTON DC,Over 18,32,8,40
617,2021,WEST VIRGINIA,Over 18,1734,128,1862
618,2021,WISCONSIN,Over 18,4188,768,4956
619,2021,WYOMING,Over 18,320,212,532
620,2013,CALIFORNIA,Under 18,205,0,205
621,2013,CALIFORNIA,Total all ages,10260,0,10260
622,2013,CALIFORNIA,Over 18,10055,0,10055
623,2014,CALIFORNIA,Under 18,181,0,181
624,2014,CALIFORNIA,Total all ages,9153,0,9153
625,2014,CALIFORNIA,Over 18,8972,0,8972
626,2015,CALIFORNIA,Under 18,144,0,144
627,2015,CALIFORNIA,Total all ages,8099,0,8099
628,2015,CALIFORNIA,Over 18,7955,0,7955
629,2016,CALIFORNIA,Under 18,112,0,112
630,2016,CALIFORNIA,Total all ages,7601,0,7601
631,2016,CALIFORNIA,Over 18,7489,0,7489
632,2017,CALIFORNIA,Under 18,18,0,18
633,2017,CALIFORNIA,Total all ages,7056,0,7056
634,2017,CALIFORNIA,Over 18,7038,0,7038
635,2018,CALIFORNIA,Under 18,12,0,12
636,2018,CALIFORNIA,Total all ages,6418,0,6418
637,2018,CALIFORNIA,Over 18,6406,0,6406
638,2019,CALIFORNIA,Under 18,19,0,19
639,2019,CALIFORNIA,Total all ages,5751,0,5751
640,2019,CALIFORNIA,Over 18,5732,0,5732
641,2020,CALIFORNIA,Under 18,5,0,5
642,2020,CALIFORNIA,Total all ages,4453,0,4453
643,2020,CALIFORNIA,Over 18,4448,0,4448
644,2021,CALIFORNIA,Under 18,1,0,1
645,2021,CALIFORNIA,Total all ages,363,0,363
646,2021,CALIFORNIA,Over 18,362,0,362
647,2013,CALIFORNIA,Over 18,10055,0,10055
648,2014,CALIFORNIA,Over 18,8972,0,8972
649,2015,CALIFORNIA,Over 18,7955,0,7955
650,2016,CALIFORNIA,Over 18,7489,0,7489
651,2017,CALIFORNIA,Over 18,7038,0,7038
652,2018,CALIFORNIA,Over 18,6406,0,6406
653,2019,CALIFORNIA,Over 18,5732,0,5732
654,2020,CALIFORNIA,Over 18,4448,0,4448
655,2021,CALIFORNIA,Over 18,362,0,362
