,Year,State,Age,CommercialSexAct,InvoluntaryServitude,TotalTraffick
126,2018,ARIZONA,Total all ages,3629,64,3693
127,2018,ARIZONA,Under 18,128,0,128
128,2018,ARKANSAS,Total all ages,64,128,192
129,2018,COLORADO,Total all ages,3264,278,3542
130,2018,CONNECTICUT,Total all ages,584,124,708
131,2018,DELAWARE,Total all ages,180,60,240
132,2018,FLORIDA,Total all ages,5829,832,6661
133,2018,FLORIDA,Under 18,64,0,64
134,2018,GEORGIA,Total all ages,97,0,97
135,2018,HAWAII,Total all ages,256,0,256
136,2018,ILLINOIS,Total all ages,1728,320,2048
137,2018,INDIANA,Total all ages,368,112,480
138,2018,INDIANA,Under 18,64,0,64
139,2018,KENTUCKY,Total all ages,2043,734,2777
140,2018,LOUISIANA,Total all ages,1472,64,1536
141,2018,MAINE,Total all ages,64,64,128
142,2018,MARYLAND,Under 18,0,1024,1024
143,2018,MASSACHUSETTS,Total all ages,2981,512,3493
144,2018,MICHIGAN,Total all ages,1578,398,1976
145,2018,MINNESOTA,Total all ages,7929,64,7993
146,2018,MINNESOTA,Under 18,64,0,64
147,2018,MISSISSIPPI,Total all ages,64,0,64
148,2018,MISSOURI,Total all ages,1494,64,1558
149,2018,MONTANA,Total all ages,128,0,128
150,2018,NEVADA,Total all ages,13568,0,13568
151,2018,NEVADA,Under 18,128,0,128
152,2018,NEW JERSEY,Total all ages,0,62,62
153,2018,NEW MEXICO,Total all ages,256,0,256
154,2018,NORTH DAKOTA,Total all ages,210,0,210
155,2018,OHIO,Total all ages,192,128,320
156,2018,OKLAHOMA,Total all ages,1472,128,1600
157,2018,OKLAHOMA,Under 18,256,0,256
158,2018,OREGON,Total all ages,1536,64,1600
159,2018,RHODE ISLAND,Total all ages,896,64,960
160,2018,RHODE ISLAND,Under 18,64,0,64
161,2018,SOUTH CAROLINA,Total all ages,752,64,816
162,2018,SOUTH DAKOTA,Total all ages,64,0,64
163,2018,TENNESSEE,Total all ages,2112,302,2414
164,2018,TEXAS,Total all ages,17221,3747,20968
165,2018,TEXAS,Under 18,384,0,384
166,2018,UTAH,Total all ages,1280,0,1280
167,2018,VERMONT,Total all ages,254,0,254
168,2018,VIRGINIA,Total all ages,564,0,564
169,2018,WASHINGTON,Total all ages,2304,599,2903
170,2018,WEST VIRGINIA,Total all ages,100,0,100
171,2018,WISCONSIN,Total all ages,4843,512,5355
172,2018,WYOMING,Total all ages,128,128,256
173,2019,ALABAMA,Total all ages,48,0,48
174,2019,ALASKA,Total all ages,329,0,329
175,2019,ARIZONA,Total all ages,3328,46,3374
176,2019,ARKANSAS,Total all ages,64,64,128
177,2019,COLORADO,Total all ages,2900,502,3402
178,2019,CONNECTICUT,Total all ages,264,192,456
179,2019,DELAWARE,Total all ages,912,601,1513
180,2019,FLORIDA,Total all ages,6773,667,7440
181,2019,GEORGIA,Total all ages,3325,384,3709
182,2019,GEORGIA,Under 18,64,0,64
183,2019,HAWAII,Total all ages,128,0,128
184,2019,IDAHO,Total all ages,192,0,192
185,2019,ILLINOIS,Total all ages,1844,509,2353
186,2019,INDIANA,Total all ages,963,504,1467
187,2019,IOWA,Total all ages,0,64,64
188,2019,KANSAS,Total all ages,128,0,128
189,2019,KENTUCKY,Total all ages,1769,1472,3241
190,2019,LOUISIANA,Total all ages,576,192,768
191,2019,MAINE,Total all ages,320,0,320
