,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year,TotalNonTraffickSex
282,Under 18,3084,135,597,2,15,56,62,60,494,36,7,440,3,2,1,48,75,13,0,32,436,0,0,29,76,0,87,0,893,0,217,4,1427538,HAWAII,2017,47
283,Total all ages,35618,1227,3748,36,114,270,807,436,2865,424,23,3837,76,147,11,414,426,247,120,155,2724,156,13,5968,467,0,919,0,14744,2,217,0,0,HAWAII,2017,269
284,Over 18,32534,1092,3151,34,99,214,745,376,2371,388,16,3397,73,145,10,366,351,234,120,123,2288,156,13,5939,391,0,832,0,13851,2,0,0,0,HAWAII,2017,222
285,Under 18,1762,104,309,1,9,46,48,32,233,40,4,307,1,3,0,51,7,12,0,31,337,0,0,11,49,0,18,0,413,0,109,2,1148121,HAWAII,2018,40
286,Total all ages,24487,828,2413,40,75,204,509,290,1844,252,27,2968,51,109,0,449,92,185,104,125,1873,149,17,4288,319,0,463,0,9945,0,109,0,0,HAWAII,2018,200
287,Over 18,22725,724,2104,39,66,158,461,258,1611,212,23,2661,50,106,0,398,85,173,104,94,1536,149,17,4277,270,0,445,0,9532,0,0,0,0,HAWAII,2018,160
288,Under 18,1849,107,297,0,14,61,32,36,248,9,4,355,1,0,0,45,20,15,0,36,274,0,0,20,54,0,43,0,409,0,173,2,1142377,HAWAII,2019,50
289,Total all ages,25165,856,2500,28,91,224,513,285,1937,239,39,3159,59,98,1,449,144,207,107,119,1947,103,8,4049,343,0,573,3,10267,0,173,0,0,HAWAII,2019,210
290,Over 18,23316,749,2203,28,77,163,481,249,1689,230,35,2804,58,98,1,404,124,192,107,83,1673,103,8,4029,289,0,530,3,9858,0,0,0,0,HAWAII,2019,160
291,Under 18,340,19,35,1,4,3,11,7,22,5,1,39,0,1,0,0,13,0,0,0,32,0,3,5,16,0,2,0,104,0,71,2,273390,HAWAII,2020,4
292,Total all ages,10996,773,1089,26,54,405,288,176,709,186,18,709,13,45,1,0,146,161,13,23,847,1,3,1067,76,0,496,0,5462,0,71,0,0,HAWAII,2020,77
293,Over 18,10656,754,1054,25,50,402,277,169,687,181,17,670,13,44,1,0,133,161,13,23,815,1,0,1062,60,0,494,0,5358,0,0,0,0,HAWAII,2020,73
294,Under 18,971,78,77,0,18,27,33,15,52,9,1,319,0,0,0,19,3,4,0,19,69,0,0,17,24,0,17,0,288,0,37,2,1059012,HAWAII,2021,37
295,Total all ages,27741,666,1447,8,76,149,433,204,1141,73,29,3754,60,170,7,488,83,94,30,95,985,38,12,2471,1365,0,593,337,15009,0,37,0,0,HAWAII,2021,171
296,Over 18,26770,588,1370,8,58,122,400,189,1089,64,28,3435,60,170,7,469,80,90,30,76,916,38,12,2454,1341,0,576,337,14721,0,0,0,0,HAWAII,2021,134
297,Under 18,8633,153,1819,0,16,13,124,253,1454,76,36,821,6,22,2,33,325,119,1,74,911,0,8,89,760,112,298,0,2742,0,338,107,1606277,IDAHO,2013,90
298,Total all ages,61668,1519,6690,19,86,107,1307,1026,5422,182,60,5200,169,373,52,250,981,437,14,266,7591,32,733,8109,3158,511,2006,9,23230,0,338,0,0,IDAHO,2013,352
299,Over 18,53035,1366,4871,19,70,94,1183,773,3968,106,24,4379,163,351,50,217,656,318,13,192,6680,32,725,8020,2398,399,1708,9,20488,0,0,0,0,IDAHO,2013,262
300,Under 18,8172,113,1771,1,21,10,81,290,1360,84,37,809,3,34,2,35,378,86,0,86,883,0,40,73,605,64,266,0,2645,0,279,109,1634011,IDAHO,2014,107
301,Total all ages,59003,1403,6673,16,108,92,1187,986,5417,207,63,5017,125,371,60,231,1051,354,17,245,7409,0,911,7439,2478,372,1666,21,22881,0,279,0,0,IDAHO,2014,353
302,Over 18,50831,1290,4902,15,87,82,1106,696,4057,123,26,4208,122,337,58,196,673,268,17,159,6526,0,871,7366,1873,308,1400,21,20236,0,0,0,0,IDAHO,2014,246
303,Under 18,7396,151,1557,0,18,8,125,249,1198,71,39,721,1,31,3,55,332,87,0,57,814,0,49,49,560,34,326,0,2380,0,189,102,1515358,IDAHO,2015,75
304,Total all ages,52162,1447,6002,14,112,102,1219,927,4807,208,60,4667,105,352,47,275,909,320,18,222,6541,0,783,5844,1883,240,1497,10,20811,0,189,0,0,IDAHO,2015,334
305,Over 18,44766,1296,4445,14,94,94,1094,678,3609,137,21,3946,104,321,44,220,577,233,18,165,5727,0,734,5795,1323,206,1171,10,18431,0,0,0,0,IDAHO,2015,259
306,Under 18,5298,117,1028,0,23,8,86,163,788,57,20,668,1,33,1,30,247,77,0,60,730,0,40,61,324,30,237,0,1557,0,57,101,1324720,IDAHO,2016,83
307,Total all ages,46962,1279,4955,23,99,79,1078,808,3909,196,42,4270,111,252,40,243,761,306,11,209,8031,0,724,6195,1324,254,1458,10,16472,0,57,0,0,IDAHO,2016,308
308,Over 18,41664,1162,3927,23,76,71,992,645,3121,139,22,3602,110,219,39,213,514,229,11,149,7301,0,684,6134,1000,224,1221,10,14915,0,0,0,0,IDAHO,2016,225
309,Under 18,6260,184,1246,0,49,19,116,172,974,80,20,744,3,31,3,18,236,95,0,67,969,0,13,48,198,31,254,2,1979,2,137,82,1534173,IDAHO,2017,116
310,Total all ages,51686,1441,5192,10,120,70,1241,790,4138,220,44,4513,127,299,43,170,756,276,13,188,8432,0,636,5458,1010,566,1582,15,20826,6,137,0,0,IDAHO,2017,308
311,Over 18,45426,1257,3946,10,71,51,1125,618,3164,140,24,3769,124,268,40,152,520,181,13,121,7463,0,623,5410,812,535,1328,13,18847,4,0,0,0,IDAHO,2017,192
312,Under 18,5993,192,978,2,57,19,114,136,766,48,28,759,5,30,7,14,257,94,1,71,928,0,7,78,196,25,188,0,2046,3,114,74,1554954,IDAHO,2018,128
313,Total all ages,52292,1542,4896,16,162,90,1274,777,3911,157,51,4559,132,355,47,175,788,283,12,243,8777,1,716,5689,874,333,1455,8,21290,3,114,0,0,IDAHO,2018,405
314,Over 18,46299,1350,3918,14,105,71,1160,641,3145,109,23,3800,127,325,40,161,531,189,11,172,7849,1,709,5611,678,308,1267,8,19244,0,0,0,0,IDAHO,2018,277
315,Under 18,6235,210,899,10,53,15,132,115,700,49,35,773,4,28,6,14,264,100,0,90,956,0,12,82,207,29,283,0,2185,0,93,101,1751712,IDAHO,2019,143
316,Total all ages,57646,1878,4644,84,204,83,1507,711,3707,179,47,4200,97,343,40,171,760,304,13,291,10889,0,620,7893,1250,650,1537,11,21953,9,93,0,0,IDAHO,2019,495
317,Over 18,51411,1668,3745,74,151,68,1375,596,3007,130,12,3427,93,315,34,157,496,204,13,201,9933,0,608,7811,1043,621,1254,11,19768,9,0,0,0,IDAHO,2019,352
318,Under 18,3912,141,591,5,37,5,94,104,437,32,18,439,0,33,2,15,185,37,0,47,566,0,14,99,167,20,165,1,1300,7,83,98,1660406,IDAHO,2020,84
319,Total all ages,45397,1738,3371,68,145,58,1467,593,2584,149,45,3330,58,403,34,176,725,273,11,197,9153,0,529,6713,984,420,1425,26,15730,18,83,0,0,IDAHO,2020,342
320,Over 18,41485,1597,2780,63,108,53,1373,489,2147,117,27,2891,58,370,32,161,540,236,11,150,8587,0,515,6614,817,400,1260,25,14430,11,0,0,0,IDAHO,2020,258
321,Under 18,4393,150,526,2,32,6,110,87,367,57,15,573,1,26,2,12,208,75,0,46,663,0,10,88,162,0,214,0,1539,0,98,80,1661136,IDAHO,2021,78
322,Total all ages,46857,1621,2859,25,127,62,1407,565,2078,181,35,3442,75,390,34,166,710,324,15,194,9686,0,457,7017,992,0,1283,5,17489,0,98,0,0,IDAHO,2021,321
323,Over 18,42464,1471,2333,23,95,56,1297,478,1711,124,20,2869,74,364,32,154,502,249,15,148,9023,0,447,6929,830,0,1069,5,15950,0,0,0,0,IDAHO,2021,243
324,Under 18,20391,2073,3825,40,0,1117,916,637,2298,880,10,2939,3,11,0,14,822,770,8,42,3984,369,6,13,133,0,2727,0,2490,0,162,2,2870763,ILLINOIS,2013,42
325,Total all ages,120760,6076,16792,363,9,2541,3163,1932,12315,2487,58,17566,188,202,1,72,3096,3438,1424,562,35001,2019,311,3868,614,0,11639,44,17685,0,162,0,0,ILLINOIS,2013,571
326,Over 18,100369,4003,12967,323,9,1424,2247,1295,10017,1607,48,14627,185,191,1,58,2274,2668,1416,520,31017,1650,305,3855,481,0,8912,44,15195,0,0,0,0,ILLINOIS,2013,529
327,Under 18,16779,1377,3431,43,45,973,316,602,1865,939,25,2468,6,12,0,23,674,775,3,36,3040,196,7,4,72,0,2212,0,2347,0,96,2,2873707,ILLINOIS,2014,81
328,Total all ages,108211,4655,14984,329,349,2058,1919,1678,10688,2544,74,16555,216,267,0,74,2896,3343,931,534,29478,1356,313,3653,462,0,9651,47,18700,0,96,0,0,ILLINOIS,2014,883
329,Over 18,91432,3278,11553,286,304,1085,1603,1076,8823,1605,49,14087,210,255,0,51,2222,2568,928,498,26438,1160,306,3649,390,0,7439,47,16353,0,0,0,0,ILLINOIS,2014,802
330,Under 18,13627,1118,3324,32,23,777,286,474,1515,1328,7,1834,9,14,0,34,403,795,0,34,2563,119,14,16,39,0,1584,0,1598,0,129,2,2876873,ILLINOIS,2015,57
331,Total all ages,91218,4102,13237,272,280,1728,1822,1321,8866,2986,64,15005,175,226,0,76,2343,3491,309,414,24101,914,287,3659,292,0,6763,14,15681,0,129,0,0,ILLINOIS,2015,694
332,Over 18,77591,2984,9913,240,257,951,1536,847,7351,1658,57,13171,166,212,0,42,1940,2696,309,380,21538,795,273,3643,253,0,5179,14,14083,0,0,0,0,ILLINOIS,2015,637
333,Under 18,10186,1003,2964,45,35,665,258,301,1161,1489,13,1576,9,4,0,39,294,738,0,17,1343,44,6,7,32,0,877,0,1154,0,79,2,2872516,ILLINOIS,2016,52
334,Total all ages,67983,4030,12623,287,276,1631,1836,992,8060,3505,66,13371,128,183,0,87,2072,3234,187,302,12958,456,254,2929,165,0,3756,4,11165,0,79,0,0,ILLINOIS,2016,578
335,Over 18,57797,3027,9659,242,241,966,1578,691,6899,2016,53,11795,119,179,0,48,1778,2496,187,285,11615,412,248,2922,133,0,2879,4,10011,0,0,0,0,ILLINOIS,2016,526
336,Under 18,8587,842,2593,28,18,603,193,195,1084,1301,13,1411,1,8,0,25,288,693,0,16,845,60,5,1,22,0,669,0,1057,0,51,2,2852941,ILLINOIS,2017,34
337,Total all ages,64552,3823,11653,272,259,1464,1828,882,7599,3113,59,13083,108,224,1,71,2076,4290,141,235,10915,457,277,2357,131,0,2988,18,11653,0,51,0,0,ILLINOIS,2017,494
338,Over 18,55965,2981,9060,244,241,861,1635,687,6515,1812,46,11672,107,216,1,46,1788,3597,141,219,10070,397,272,2356,109,0,2319,18,10596,0,0,0,0,ILLINOIS,2017,460
339,Under 18,7366,786,1876,18,29,564,175,143,897,826,10,1297,2,14,0,45,264,620,0,17,834,47,6,1,27,0,564,0,916,0,50,2,2865349,ILLINOIS,2018,46
340,Total all ages,86947,5581,14859,416,437,2422,2306,1015,9514,4267,63,16749,127,247,0,84,2696,6798,115,350,17060,706,355,2825,181,0,3987,28,14149,0,50,0,0,ILLINOIS,2018,787
341,Over 18,79581,4795,12983,398,408,1858,2131,872,8617,3441,53,15452,125,233,0,39,2432,6178,115,333,16226,659,349,2824,154,0,3423,28,13233,0,0,0,0,ILLINOIS,2018,741
342,Under 18,696,50,66,1,1,27,21,5,50,6,5,133,0,6,0,29,25,24,0,1,123,0,1,0,8,0,95,0,111,0,24,1,145719,ILLINOIS,2019,2
343,Total all ages,8248,487,565,18,19,75,375,76,461,12,16,1516,17,33,0,93,319,137,62,10,569,0,213,396,73,0,643,21,3070,0,24,0,0,ILLINOIS,2019,29
344,Over 18,7552,437,499,17,18,48,354,71,411,6,11,1383,17,27,0,64,294,113,62,9,446,0,212,396,65,0,548,21,2959,0,0,0,0,ILLINOIS,2019,27
345,Under 18,456,37,37,1,1,23,12,7,23,2,5,65,0,0,0,24,32,22,0,0,56,0,0,1,5,0,79,0,82,0,16,1,144795,ILLINOIS,2020,1
346,Total all ages,5615,407,434,13,15,53,326,49,355,13,17,1013,5,27,0,57,341,160,1,14,280,0,140,231,28,0,445,3,2013,0,16,0,0,ILLINOIS,2020,29
347,Over 18,5159,370,397,12,14,30,314,42,332,11,12,948,5,27,0,33,309,138,1,14,224,0,140,230,23,0,366,3,1931,0,0,0,0,ILLINOIS,2020,28
348,Under 18,2729,163,428,2,3,34,124,73,312,38,5,679,4,47,3,25,189,133,0,5,319,0,3,25,77,0,199,0,356,0,74,118,2407151,ILLINOIS,2021,8
349,Total all ages,38027,1761,4208,43,72,184,1462,568,3423,164,53,7414,104,712,35,141,1649,1284,11,33,4101,0,156,4388,463,0,1144,1,10348,0,74,0,0,ILLINOIS,2021,105
350,Over 18,35298,1598,3780,41,69,150,1338,495,3111,126,48,6735,100,665,32,116,1460,1151,11,28,3782,0,153,4363,386,0,945,1,9992,0,0,0,0,ILLINOIS,2021,97
351,Under 18,15960,806,4251,11,31,213,551,529,3390,287,45,3016,11,49,4,114,606,201,6,188,1100,0,70,68,1434,107,1124,18,2347,123,317,138,3817113,INDIANA,2013,219
352,Total all ages,129146,6138,21723,158,167,1059,4754,2523,18047,1042,111,13541,755,1047,145,710,1464,1437,725,1057,12470,74,936,12295,7230,7454,4278,121,35090,139,317,0,0,INDIANA,2013,1224
353,Over 18,113186,5332,17472,147,136,846,4203,1994,14657,755,66,10525,744,998,141,596,858,1236,719,869,11370,74,866,12227,5796,7347,3154,103,32743,16,0,0,0,INDIANA,2013,1005
354,Under 18,15814,859,4353,16,30,269,544,532,3490,298,33,2847,13,75,3,120,480,234,3,144,1221,4,242,66,1202,90,1009,11,2357,105,376,243,4830065,INDIANA,2014,174
355,Total all ages,143682,7463,22937,189,170,1185,5919,2488,19081,1271,97,13121,866,1355,130,683,1390,1559,497,828,16167,14,1240,14878,5940,5847,3900,232,44071,188,376,0,0,INDIANA,2014,998
356,Over 18,127868,6604,18584,173,140,916,5375,1956,15591,973,64,10274,853,1280,127,563,910,1325,494,684,14946,10,998,14812,4738,5757,2891,221,41714,83,0,0,0,INDIANA,2014,824
357,Under 18,14282,755,3503,16,28,277,434,383,2820,271,29,2426,17,69,6,89,421,221,2,146,1116,7,319,69,1065,63,838,15,2717,82,336,236,4703413,INDIANA,2015,174
358,Total all ages,150628,7327,21625,200,183,1192,5752,2245,17903,1394,83,12774,891,1569,143,566,1338,2069,431,886,16526,13,1257,14428,5484,4366,3619,164,54680,136,336,0,0,INDIANA,2015,1069
359,Over 18,136346,6572,18122,184,155,915,5318,1862,15083,1123,54,10348,874,1500,137,477,917,1848,429,740,15410,6,938,14359,4419,4303,2781,149,51963,54,0,0,0,INDIANA,2015,895
360,Under 18,12420,758,3074,12,19,298,429,317,2400,316,41,2161,18,68,3,83,447,255,2,105,1100,1,171,61,745,38,697,33,2374,8,218,204,4305899,INDIANA,2016,124
361,Total all ages,143554,7323,19954,160,193,1325,5645,2208,16014,1625,107,12547,1351,1670,204,547,1419,2386,309,776,18041,21,1042,13492,3665,4316,3517,81,50656,19,218,0,0,INDIANA,2016,969
362,Over 18,131134,6565,16880,148,174,1027,5216,1891,13614,1309,66,10386,1333,1602,201,464,972,2131,307,671,16941,20,871,13431,2920,4278,2820,48,48282,11,0,0,0,INDIANA,2016,845
363,Under 18,11369,842,2724,17,48,218,559,301,2104,294,25,1731,15,63,7,35,349,207,4,123,1391,0,209,60,653,39,597,29,2077,4,210,201,4267407,INDIANA,2017,171
364,Total all ages,147199,8345,17546,182,208,1386,6569,2016,13829,1629,72,11260,1234,1885,266,343,1200,2283,305,673,26364,14,1059,13263,3792,3820,3453,347,49499,38,210,0,0,INDIANA,2017,881
365,Over 18,135830,7503,14822,165,160,1168,6010,1715,11725,1335,47,9529,1219,1822,259,308,851,2076,301,550,24973,14,850,13203,3139,3781,2856,318,47422,34,0,0,0,INDIANA,2017,710
366,Under 18,8831,615,1784,9,29,163,414,199,1339,220,26,1652,20,63,8,24,342,203,0,64,1155,0,203,36,457,16,518,9,1556,2,104,202,4025425,INDIANA,2018,93
367,Total all ages,125536,7236,14135,184,212,1118,5722,1617,11037,1408,73,10492,968,1434,210,289,1054,2024,204,540,25058,7,912,11890,2824,3261,3177,39,39648,30,104,0,0,INDIANA,2018,752
368,Over 18,116705,6621,12351,175,183,955,5308,1418,9698,1188,47,8840,948,1371,202,265,712,1821,204,476,23903,7,709,11854,2367,3245,2659,30,38092,28,0,0,0,INDIANA,2018,659
369,Under 18,5211,282,902,5,9,57,211,98,698,101,5,934,5,18,1,14,140,122,0,32,780,1,58,28,370,12,292,5,1146,3,66,165,2713489,INDIANA,2019,41
370,Total all ages,76675,3235,8492,71,90,332,2742,851,6940,634,67,5680,664,1010,57,129,541,1202,17,283,15134,19,532,8524,2434,1771,1883,25,24965,12,66,0,0,INDIANA,2019,373
371,Over 18,71464,2953,7590,66,81,275,2531,753,6242,533,62,4746,659,992,56,115,401,1080,17,251,14354,18,474,8496,2064,1759,1591,20,23819,9,0,0,0,INDIANA,2019,332
372,Under 18,4298,404,684,10,25,137,232,98,447,133,6,778,6,13,7,46,126,139,0,44,418,0,11,49,180,19,149,0,1175,0,50,109,3535979,INDIANA,2020,69
373,Total all ages,75450,3978,7915,130,142,648,3058,1004,5975,884,52,8426,515,626,79,376,479,2274,36,253,11978,2,299,8874,903,819,1880,34,25651,3,50,0,0,INDIANA,2020,395
374,Over 18,71152,3574,7231,120,117,511,2826,906,5528,751,46,7648,509,613,72,330,353,2135,36,209,11560,2,288,8825,723,800,1731,34,24476,3,0,0,0,INDIANA,2020,326
375,Under 18,6641,538,889,20,28,173,317,107,563,208,11,1466,7,23,2,47,162,244,0,48,640,0,4,38,248,0,256,0,1933,0,96,129,4671815,INDIANA,2021,76
376,Total all ages,100461,4338,9430,140,170,623,3405,1101,7121,1143,65,12264,214,750,78,483,564,3201,81,313,17532,3,347,11840,1145,0,2308,3,35471,0,96,0,0,INDIANA,2021,483
377,Over 18,93820,3800,8541,120,142,450,3088,994,6558,935,54,10798,207,727,76,436,402,2957,81,265,16892,3,343,11802,897,0,2052,3,33538,0,0,0,0,INDIANA,2021,407
378,Under 18,12888,488,3820,2,27,85,374,470,3132,148,70,1692,14,35,9,37,720,143,2,68,982,0,3,97,966,162,1478,0,1766,0,406,198,2780814,IOWA,2013,95
379,Total all ages,101402,4055,15466,32,102,348,3573,1790,13079,457,140,8602,566,724,72,244,2069,711,113,224,9182,4,1279,9825,5181,11256,5515,38,25870,0,406,0,0,IOWA,2013,326
380,Over 18,88514,3567,11646,30,75,263,3199,1320,9947,309,70,6910,552,689,63,207,1349,568,111,156,8200,4,1276,9728,4215,11094,4037,38,24104,0,0,0,0,IOWA,2013,231
381,Under 18,13115,454,3677,2,39,83,330,359,3121,142,55,1627,11,39,1,36,945,143,5,55,1074,0,2,79,861,183,1581,0,1962,0,380,196,2814849,IOWA,2014,94
382,Total all ages,100607,4158,14885,28,157,361,3612,1499,12882,394,110,8537,509,761,74,204,2289,742,68,193,9115,5,1208,9952,4352,10951,5443,16,26765,0,380,0,0,IOWA,2014,350
383,Over 18,87492,3704,11208,26,118,278,3282,1140,9761,252,55,6910,498,722,73,168,1344,599,63,138,8041,5,1206,9873,3491,10768,3862,16,24803,0,0,0,0,IOWA,2014,256
384,Under 18,10662,545,3155,6,29,85,425,407,2569,142,37,1374,19,42,11,35,651,112,2,42,813,0,6,74,550,99,1170,0,1593,0,369,180,2502758,IOWA,2015,71
385,Total all ages,89891,4512,14137,43,136,362,3971,1585,11998,449,105,6897,552,653,82,178,1931,705,116,167,8114,6,879,9028,3733,7639,4137,6,26050,0,369,0,0,IOWA,2015,303
386,Over 18,79229,3967,10982,37,107,277,3546,1178,9429,307,68,5523,533,611,71,143,1280,593,114,125,7301,6,873,8954,3183,7540,2967,6,24457,0,0,0,0,IOWA,2015,232
387,Under 18,10671,558,2556,3,34,110,411,391,1978,152,35,1560,21,39,8,47,766,120,1,64,935,0,3,71,689,99,1211,0,1519,0,404,206,2810823,IOWA,2016,98
388,Total all ages,95962,4876,13033,55,154,396,4271,1585,10839,525,84,7790,584,752,79,177,2283,844,104,186,9550,5,1242,9836,3943,6983,4104,9,29178,0,404,0,0,IOWA,2016,340
389,Over 18,85291,4318,10477,52,120,286,3860,1194,8861,373,49,6230,563,713,71,130,1517,724,103,122,8615,5,1239,9765,3254,6884,2893,9,27659,0,0,0,0,IOWA,2016,242
390,Under 18,10088,445,2607,3,41,94,307,407,1918,248,34,1518,27,49,12,34,652,131,1,47,902,0,3,83,661,75,991,0,1598,0,252,190,2686879,IOWA,2017,88
391,Total all ages,94485,4709,12280,53,192,341,4123,1594,10029,565,92,7296,664,743,79,212,1995,900,46,125,9645,7,1059,10082,3733,5793,3574,17,31274,0,252,0,0,IOWA,2017,317
392,Over 18,84397,4264,9673,50,151,247,3816,1187,8111,317,58,5778,637,694,67,178,1343,769,45,78,8743,7,1056,9999,3072,5718,2583,17,29676,0,0,0,0,IOWA,2017,229
393,Under 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IOWA,2018,0
394,Total all ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IOWA,2018,0
395,Over 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IOWA,2018,0
396,Under 18,8901,503,1891,0,44,70,389,293,1362,201,35,1723,13,39,2,46,629,123,1,33,890,0,5,75,453,84,964,0,1305,0,122,185,2597154,IOWA,2019,77
397,Total all ages,87139,4436,10055,35,183,274,3944,1271,8118,581,85,7173,433,558,45,239,1874,715,32,96,8444,4,870,9667,2491,4474,3180,8,32223,0,122,0,0,IOWA,2019,279
398,Over 18,78238,3933,8164,35,139,204,3555,978,6756,380,50,5450,420,519,43,193,1245,592,31,63,7554,4,865,9592,2038,4390,2216,8,30918,0,0,0,0,IOWA,2019,202
399,Under 18,7019,490,1550,6,57,84,343,254,1029,237,30,1263,11,33,6,53,550,89,0,20,721,0,4,93,481,65,419,0,1085,0,86,216,2850739,IOWA,2020,77
400,Total all ages,78092,5129,9056,56,258,279,4536,1446,6862,642,106,7260,393,455,40,285,2049,914,11,93,8166,2,906,9190,2071,2483,1922,6,27575,0,86,0,0,IOWA,2020,351
401,Over 18,71073,4639,7506,50,201,195,4193,1192,5833,405,76,5997,382,422,34,232,1499,825,11,73,7445,2,902,9097,1590,2418,1503,6,26490,0,0,0,0,IOWA,2020,274
402,Under 18,6490,476,1302,7,79,67,323,199,827,253,23,1755,14,60,6,74,528,96,1,18,726,0,3,78,357,0,162,0,833,0,1,178,2825401,IOWA,2021,97
403,Total all ages,68342,4868,7780,41,263,218,4346,1046,5824,824,86,8587,275,756,62,288,1951,740,23,98,8378,7,456,8841,1509,0,662,6,23054,0,1,0,0,IOWA,2021,361
404,Over 18,61852,4392,6478,34,184,151,4023,847,4997,571,63,6832,261,696,56,214,1423,644,22,80,7652,7,453,8763,1152,0,500,6,22221,0,0,0,0,IOWA,2021,264
405,Under 18,5784,186,1368,3,26,19,138,138,1156,57,17,932,4,21,19,38,319,47,4,63,815,0,10,83,627,4,252,0,992,0,0,238,2068879,KANSAS,2013,89
406,Total all ages,78182,2145,7209,63,130,206,1746,867,5904,383,55,10665,370,940,202,380,2002,594,245,246,8130,3,250,9730,4660,355,2337,0,27719,0,0,0,0,KANSAS,2013,376
407,Over 18,72398,1959,5841,60,104,187,1608,729,4748,326,38,9733,366,919,183,342,1683,547,241,183,7315,3,240,9647,4033,351,2085,0,26727,0,0,0,0,KANSAS,2013,287
408,Under 18,5106,226,1107,5,38,40,143,116,901,70,20,763,9,12,12,28,299,36,0,57,747,0,9,78,609,0,238,0,876,0,0,222,1961283,KANSAS,2014,95
409,Total all ages,68291,1992,6214,37,151,205,1599,819,4943,395,57,9041,261,648,159,368,1808,450,104,194,7677,0,207,8438,3868,287,2146,0,24429,0,0,0,0,KANSAS,2014,345
410,Over 18,63185,1766,5107,32,113,165,1456,703,4042,325,37,8278,252,636,147,340,1509,414,104,137,6930,0,198,8360,3259,287,1908,0,23553,0,0,0,0,KANSAS,2014,250
411,Under 18,4959,192,1278,1,25,45,121,166,1021,76,15,726,1,23,14,22,270,43,1,52,708,0,14,71,462,1,267,0,814,0,0,222,1883819,KANSAS,2015,77
412,Total all ages,62188,1991,6167,53,140,221,1577,721,5046,347,53,8547,224,582,159,367,1624,425,75,172,7756,0,261,7186,3225,207,1954,0,21266,0,0,0,0,KANSAS,2015,312
413,Over 18,57229,1799,4889,52,115,176,1456,555,4025,271,38,7821,223,559,145,345,1354,382,74,120,7048,0,247,7115,2763,206,1687,0,20452,0,0,0,0,KANSAS,2015,235
414,Under 18,4081,170,910,6,25,33,106,84,738,69,19,643,5,10,8,47,226,54,1,42,668,0,8,58,408,0,204,0,619,0,0,228,1732223,KANSAS,2016,67
415,Total all ages,53823,1948,4899,50,126,205,1567,579,3907,363,50,7741,189,403,107,577,1458,541,56,138,7519,0,182,5923,2593,134,1558,0,17857,0,0,0,0,KANSAS,2016,264
416,Over 18,49742,1778,3989,44,101,172,1461,495,3169,294,31,7098,184,393,99,530,1232,487,55,96,6851,0,174,5865,2185,134,1354,0,17238,0,0,0,0,KANSAS,2016,197
417,Under 18,3948,185,683,3,17,27,138,102,490,71,20,742,4,22,8,48,243,54,0,43,701,0,6,61,353,1,156,0,638,0,0,225,1900556,KANSAS,2017,60
418,Total all ages,61144,2198,4958,62,112,204,1820,608,3887,412,51,8456,263,580,111,584,1697,742,127,167,9594,0,228,5443,2353,138,1613,0,21892,0,0,0,0,KANSAS,2017,279
419,Over 18,57196,2013,4275,59,95,177,1682,506,3397,341,31,7714,259,558,103,536,1454,688,127,124,8893,0,222,5382,2000,137,1457,0,21254,0,0,0,0,KANSAS,2017,219
420,Under 18,1639,43,105,0,12,4,27,17,77,10,1,165,0,2,7,8,42,3,0,12,202,0,14,31,335,0,108,0,562,0,0,213,1308859,KANSAS,2018,24
421,Total all ages,32837,387,1005,5,43,15,324,116,802,78,9,1590,58,271,25,120,285,83,1,44,2242,0,152,4554,1971,119,946,0,18984,0,0,0,0,KANSAS,2018,87
422,Over 18,31198,344,900,5,31,11,297,99,725,68,8,1425,58,269,18,112,243,80,1,32,2040,0,138,4523,1636,119,838,0,18422,0,0,0,0,KANSAS,2018,63
423,Under 18,3632,208,552,1,25,33,149,72,423,40,17,754,1,10,5,31,210,53,1,35,621,0,13,65,278,0,127,0,668,0,0,218,1614393,KANSAS,2019,60
424,Total all ages,52378,2212,3741,51,112,190,1859,416,2983,290,52,7043,160,349,46,482,1536,767,79,129,8475,1,216,5672,1751,103,1425,0,18191,0,0,0,0,KANSAS,2019,241
425,Over 18,48746,2004,3189,50,87,157,1710,344,2560,250,35,6289,159,339,41,451,1326,714,78,94,7854,1,203,5607,1473,103,1298,0,17523,0,0,0,0,KANSAS,2019,181
426,Under 18,3248,125,366,8,12,15,90,37,287,37,5,555,3,11,0,43,213,18,1,21,549,0,10,103,474,0,86,0,670,0,0,220,1700866,KANSAS,2020,33
427,Total all ages,46140,1619,3542,46,83,88,1402,380,2853,272,37,6137,147,350,22,515,1364,384,30,108,7837,0,221,6192,1568,87,929,0,15087,1,0,0,0,KANSAS,2020,191
