,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
0,ALABAMA5,Under 18,40,6,9,0,0,1,5,4,5,0,0,7,0,1,0,0,3,0,0,0,2,0,0,0,2,0,2,0,8,0,0,7.0,66582.0,ALABAMA,2020
1,ALABAMA5,Total all ages,2050,104,189,8,7,11,78,47,127,14,1,158,24,43,2,19,19,14,0,11,131,0,20,76,16,44,23,0,1157,0,0,,,ALABAMA,2020
2,ALASKA,Under 18,1052,146,198,3,21,17,105,69,68,53,8,300,0,9,1,0,131,11,0,11,56,0,0,32,47,0,10,0,100,0,0,31.0,719120.0,ALASKA,2020
3,ALASKA,Total all ages,26353,2598,2396,33,160,287,2118,471,1545,338,42,4591,53,199,35,66,1063,332,1,242,808,0,101,3008,275,19,655,44,9865,2,0,,,ALASKA,2020
4,ARIZONA,Under 18,13454,1049,1865,22,40,320,667,343,1219,273,30,2707,6,34,6,88,1165,281,5,216,1432,9,85,124,615,32,1040,38,2101,1,555,86.0,6456926.0,ARIZONA,2020
5,ARIZONA,Total all ages,187255,11663,26624,340,322,1872,9129,3521,21221,1670,212,23451,610,1462,345,1022,8781,3600,368,1051,21945,9,1595,14909,3567,1291,11128,572,52697,10,555,,,ARIZONA,2020
6,ARKANSAS,Under 18,5173,415,920,25,49,80,261,205,647,62,6,1060,6,27,1,166,189,96,1,13,562,0,5,43,88,30,351,0,1034,0,166,249.0,2730633.0,ARKANSAS,2020
7,ARKANSAS,Total all ages,96862,5534,10925,195,281,437,4621,1702,8608,553,62,10858,618,625,29,1672,1518,1008,17,77,15294,8,253,4938,872,3123,2027,300,37000,0,166,,,ARKANSAS,2020
8,CALIFORNIA,Under 18,23588,4643,3820,79,150,1953,2461,1563,1259,920,78,3910,23,113,9,590,1470,1734,5,434,1184,1,3,437,443,267,359,33,3715,0,395,673.0,38994766.0,CALIFORNIA,2020
9,CALIFORNIA,Total all ages,847606,100579,72990,1594,2060,13636,83289,26220,28350,16369,2051,68962,2753,5042,680,14631,17493,28407,4453,7258,185985,675,308,95778,2728,35841,2636,3289,196723,0,395,,,CALIFORNIA,2020
10,COLORADO,Under 18,9095,706,1632,32,76,215,383,199,1081,301,51,1015,6,43,6,16,597,176,0,63,812,0,21,232,609,2,635,0,2221,0,303,197.0,5074548.0,COLORADO,2020
11,COLORADO,Total all ages,145095,8659,21458,236,441,1199,6783,2649,15064,3452,293,15449,488,1820,39,654,5215,2341,113,300,9231,0,1764,14421,3396,34,4221,89,55100,0,303,,,COLORADO,2020
12,CONNECTICUT,Under 18,3791,232,956,10,23,103,96,132,569,244,11,761,8,14,4,152,189,73,0,29,203,1,21,16,9,0,607,0,515,0,1,107.0,3557006.0,CONNECTICUT,2020
13,CONNECTICUT,Total all ages,68484,2664,8799,105,188,589,1782,1146,6919,667,67,14921,294,563,75,332,1529,1022,42,291,4422,7,1706,5151,59,0,8711,41,17854,0,1,,,CONNECTICUT,2020
