,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
68,NORTH DAKOTA,Under 18,4152,66,559,2,6,7,51,69,423,59,8,523,4,14,5,16,183,22,0,31,332,0,299,23,410,0,740,0,856,0,69,103.0,759718.0,NORTH DAKOTA,2019
69,NORTH DAKOTA,Total all ages,32647,756,3189,17,62,63,614,310,2623,235,21,2824,161,495,49,303,500,303,19,93,5005,2,448,4827,2474,230,1733,1,9166,0,69,,,NORTH DAKOTA,2019
70,OHIO,Under 18,20149,1033,3287,22,86,372,553,468,2549,236,34,4684,11,135,1,340,868,328,2,111,1362,0,90,47,391,22,1676,0,5410,1,350,412.0,9198221.0,OHIO,2019
71,OHIO,Total all ages,205987,8752,29869,244,438,1830,6240,3583,25142,893,251,34495,519,1826,22,2393,3656,4048,381,536,33435,19,1045,12301,4595,5060,9427,11,53227,20,350,,,OHIO,2019
72,OKLAHOMA,Under 18,7195,403,1513,9,28,104,262,292,1014,179,28,868,4,32,21,204,197,168,0,37,1022,1,17,62,53,168,552,0,1296,0,577,406.0,3909106.0,OKLAHOMA,2019
73,OKLAHOMA,Total all ages,100758,4569,15584,158,163,580,3668,2437,11607,1358,182,8539,515,1180,407,2621,1398,2742,46,374,16146,10,521,9053,823,9484,2131,258,23780,0,577,,,OKLAHOMA,2019
74,OREGON,Under 18,8031,438,1614,4,34,121,279,207,1233,124,50,1097,11,33,2,20,498,73,0,67,1312,0,1,88,556,0,591,1,1361,0,268,152.0,3692097.0,OREGON,2019
75,OREGON,Total all ages,124126,4638,18622,47,228,814,3549,1716,14836,1802,268,10595,653,1858,75,523,3520,2084,151,432,13131,4,356,12446,2340,28,6574,2,45826,0,268,,,OREGON,2019
76,PENNSYLVANIA,Under 18,8153,654,1161,13,48,150,443,185,856,98,22,1243,11,49,12,95,386,155,0,92,685,0,9,79,354,41,1866,11,969,0,281,379.0,3254641.0,PENNSYLVANIA,2019
77,PENNSYLVANIA,Total all ages,91934,4774,11136,105,220,701,3748,1250,9371,424,91,11187,721,1794,131,612,1837,1171,138,594,14931,32,733,12468,1522,6593,8380,89,12810,0,281,,,PENNSYLVANIA,2019
78,RHODE ISLAND,Under 18,2176,100,340,2,19,25,54,72,227,24,17,407,2,12,6,40,189,90,0,7,112,0,11,6,29,0,511,0,300,0,14,48.0,1059361.0,RHODE ISLAND,2019
79,RHODE ISLAND,Total all ages,25403,907,2512,10,106,107,684,486,1843,138,45,4056,160,594,109,275,936,363,43,87,1866,5,77,2483,278,28,2249,4,8357,0,14,,,RHODE ISLAND,2019
80,SOUTH CAROLINA,Under 18,9403,582,1918,21,86,160,315,369,1395,133,21,2227,12,50,12,123,334,389,0,43,1375,0,10,36,169,58,865,0,1189,0,11,254.0,4344727.0,SOUTH CAROLINA,2019
