,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
0,ALABAMA5,Under 18,144,3,84,0,0,2,1,3,80,0,1,22,0,1,0,3,0,1,0,0,9,0,0,1,1,1,6,0,12,0,0,1.0,84843.0,ALABAMA,2014
1,ALABAMA5,Total all ages,1815,33,695,1,1,20,11,15,679,0,1,218,8,19,7,22,5,15,0,0,220,0,0,162,7,119,21,8,256,0,0,,,ALABAMA,2014
2,ALASKA,Under 18,1863,129,604,1,10,22,96,71,491,24,18,201,2,7,4,3,121,35,0,22,199,0,2,26,243,15,28,0,217,0,5,28.0,469145.0,ALASKA,2014
3,ALASKA,Total all ages,25935,1577,3451,19,87,208,1263,282,2824,204,141,3134,77,182,62,24,732,218,36,250,1159,0,187,2336,1171,125,731,0,10461,17,5,,,ALASKA,2014
4,ARIZONA,Under 18,26173,821,5953,12,46,220,543,768,4838,285,62,3589,18,57,5,82,2036,180,6,291,3475,0,223,218,2682,0,1591,45,3523,0,1378,86.0,6303555.0,ARIZONA,2014
5,ARIZONA,Total all ages,261448,8899,41250,181,303,1593,6822,3893,35580,1579,198,25530,1140,2076,156,1182,10747,2370,855,1629,29670,6,2466,26843,14323,0,14777,288,75863,0,1378,,,ARIZONA,2014
6,ARKANSAS,Under 18,7936,340,2121,2,45,83,210,390,1644,81,6,1443,12,27,1,110,253,100,1,26,676,0,3,59,264,85,562,0,1649,0,204,251.0,2631837.0,ARKANSAS,2014
7,ARKANSAS,Total all ages,119850,3998,15484,86,243,582,3087,2176,12845,413,50,10590,724,1256,44,1138,1252,898,222,118,11168,8,277,6844,1918,5912,2462,542,54791,0,204,,,ARKANSAS,2014
8,CALIFORNIA,Under 18,83391,7899,18970,95,275,2735,4794,6902,10408,1367,293,10336,85,227,12,1454,4331,3716,181,1205,8463,15,5,526,2155,1548,2978,172,15877,0,3236,684.0,38716884.0,CALIFORNIA,2014
9,CALIFORNIA,Total all ages,1217089,106058,134746,1427,2443,14793,87395,48498,71440,13755,1053,78126,5222,6551,1047,17379,17175,24484,9153,9727,229083,285,316,155285,15673,89901,6308,8105,299229,0,3236,,,CALIFORNIA,2014
10,COLORADO,Under 18,26879,547,5999,13,51,120,363,471,5108,297,123,1752,8,91,6,29,975,336,2,150,3374,1,57,253,1966,52,2262,0,7411,0,1608,208.0,5195484.0,COLORADO,2014
11,COLORADO,Total all ages,239994,5936,32318,128,458,939,4411,2671,27857,1565,225,16849,585,1928,88,319,5296,2164,347,525,13381,13,3225,27874,12641,271,9801,561,104264,0,1608,,,COLORADO,2014
12,CONNECTICUT,Under 18,9431,515,1917,5,33,213,264,323,1370,143,81,2378,15,31,1,36,437,199,1,85,732,0,41,33,72,0,1722,0,1209,0,7,101.0,3596160.0,CONNECTICUT,2014
13,CONNECTICUT,Total all ages,107855,4051,17132,94,238,1166,2553,2409,13857,581,285,18508,681,963,164,285,2011,1129,348,389,9927,14,1401,8918,357,2,11949,26,29593,0,7,,,CONNECTICUT,2014
14,DELAWARE,Under 18,4133,339,930,4,14,146,175,190,706,24,10,1104,4,59,1,58,147,113,0,30,458,1,1,3,135,4,304,0,377,0,65,49.0,933379.0,DELAWARE,2014
15,DELAWARE,Total all ages,36780,2126,7963,22,78,537,1489,1027,6780,128,28,6826,272,1884,204,435,774,394,64,137,6163,6,194,334,1120,473,1645,489,5212,0,65,,,DELAWARE,2014
16,DISTRICT OF COLUMBIA6,Under 18,332,43,25,0,0,34,9,0,22,3,0,31,3,1,0,4,6,31,0,0,23,0,0,0,4,0,15,0,144,0,2,1.0,0.0,WASHINGTON DC,2014
17,DISTRICT OF COLUMBIA6,Total all ages,5709,110,128,0,1,64,45,0,119,8,1,202,12,3,0,14,38,92,0,0,389,0,0,10,532,64,76,92,3945,0,2,,,WASHINGTON DC,2014
18,"FLORIDA5, 7",Under 18,66839,4536,19449,49,270,1657,2560,5462,12220,1700,67,10075,52,450,21,130,1297,854,27,219,7382,5,0,130,864,0,0,0,21348,0,0,591.0,19829171.0,FLORIDA,2014
19,"FLORIDA5, 7",Total all ages,865272,39249,119875,685,1839,7712,29013,20914,92468,6204,289,81138,2482,12236,954,2400,6464,4911,3356,2583,122190,416,0,42745,21682,0,0,0,402591,0,0,,,FLORIDA,2014
20,GEORGIA,Under 18,28458,1461,8233,44,30,594,793,1740,5956,485,52,4079,51,181,5,378,801,458,20,375,2461,10,173,147,642,58,2627,63,5413,196,626,375.0,8760392.0,GEORGIA,2014
21,GEORGIA,Total all ages,307221,11535,47951,419,326,2625,8165,6739,39374,1624,214,29725,3512,5485,399,3048,3913,3363,679,3229,42619,238,3849,23004,6706,2051,19913,1205,93921,250,626,,,GEORGIA,2014
22,HAWAII,Under 18,590,24,112,2,1,8,13,18,78,13,3,42,0,0,0,0,5,5,0,0,153,0,0,10,42,0,6,0,72,0,119,1.0,162229.0,HAWAII,2014
23,HAWAII,Total all ages,9464,332,1072,6,22,63,241,215,723,130,4,640,12,11,0,0,72,89,20,20,1122,53,8,810,106,0,154,0,4824,0,119,,,HAWAII,2014
24,IDAHO,Under 18,8172,113,1771,1,21,10,81,290,1360,84,37,809,3,34,2,35,378,86,0,86,883,0,40,73,605,64,266,0,2645,0,279,109.0,1634011.0,IDAHO,2014
25,IDAHO,Total all ages,59003,1403,6673,16,108,92,1187,986,5417,207,63,5017,125,371,60,231,1051,354,17,245,7409,0,911,7439,2478,372,1666,21,22881,0,279,,,IDAHO,2014
26,ILLINOIS8,Under 18,16779,1377,3431,43,45,973,316,602,1865,939,25,2468,6,12,0,23,674,775,3,36,3040,196,7,4,72,0,2212,0,2347,0,96,2.0,2873707.0,ILLINOIS,2014
27,ILLINOIS8,Total all ages,108211,4655,14984,329,349,2058,1919,1678,10688,2544,74,16555,216,267,0,74,2896,3343,931,534,29478,1356,313,3653,462,0,9651,47,18700,0,96,,,ILLINOIS,2014
28,INDIANA,Under 18,15814,859,4353,16,30,269,544,532,3490,298,33,2847,13,75,3,120,480,234,3,144,1221,4,242,66,1202,90,1009,11,2357,105,376,243.0,4830065.0,INDIANA,2014
29,INDIANA,Total all ages,143682,7463,22937,189,170,1185,5919,2488,19081,1271,97,13121,866,1355,130,683,1390,1559,497,828,16167,14,1240,14878,5940,5847,3900,232,44071,188,376,,,INDIANA,2014
30,IOWA,Under 18,13115,454,3677,2,39,83,330,359,3121,142,55,1627,11,39,1,36,945,143,5,55,1074,0,2,79,861,183,1581,0,1962,0,380,196.0,2814849.0,IOWA,2014
31,IOWA,Total all ages,100607,4158,14885,28,157,361,3612,1499,12882,394,110,8537,509,761,74,204,2289,742,68,193,9115,5,1208,9952,4352,10951,5443,16,26765,0,380,,,IOWA,2014
32,KANSAS,Under 18,5106,226,1107,5,38,40,143,116,901,70,20,763,9,12,12,28,299,36,0,57,747,0,9,78,609,0,238,0,876,0,0,222.0,1961283.0,KANSAS,2014
33,KANSAS,Total all ages,68291,1992,6214,37,151,205,1599,819,4943,395,57,9041,261,648,159,368,1808,450,104,194,7677,0,207,8438,3868,287,2146,0,24429,0,0,,,KANSAS,2014
34,KENTUCKY,Under 18,6453,367,2203,11,27,213,116,530,1506,111,56,1078,10,20,9,232,158,123,0,55,656,1,3,50,34,75,309,10,1060,0,0,390.0,4361843.0,KENTUCKY,2014
35,KENTUCKY,Total all ages,178916,3790,23106,159,249,1260,2122,3507,18825,629,145,11316,1022,1135,483,1912,1097,1015,226,370,21644,9,4758,19953,234,15663,4537,179,66467,0,0,,,KENTUCKY,2014
36,LOUISIANA,Under 18,12356,611,3060,12,36,137,426,775,2062,193,30,2606,7,9,1,145,383,180,5,83,1007,2,34,28,86,14,1426,20,2471,3,175,132.0,2837980.0,LOUISIANA,2014
37,LOUISIANA,Total all ages,121145,5215,20526,165,218,669,4163,3445,16290,721,70,15282,546,1154,98,1166,1968,1585,398,619,17693,34,1125,5598,1154,2626,5777,124,38180,102,175,,,LOUISIANA,2014
38,MAINE,Under 18,3854,57,950,0,11,5,41,144,749,50,7,524,7,9,2,14,269,15,2,42,472,0,3,52,636,3,126,0,649,0,22,179.0,1327844.0,MAINE,2014
39,MAINE,Total all ages,47815,762,7286,10,65,164,523,905,6117,222,42,5224,232,643,58,148,1168,270,52,207,5802,4,154,5531,3124,16,1568,0,15544,0,22,,,MAINE,2014
40,MARYLAND,Under 18,17328,1549,4350,11,32,823,683,928,2851,475,96,3287,39,40,5,15,691,398,6,118,2342,52,10,78,486,2,853,28,2802,25,152,150.0,4625308.0,MARYLAND,2014
41,MARYLAND,Total all ages,195120,8322,24566,195,284,2692,5151,4624,18584,1112,246,19353,553,1048,227,170,2527,2739,882,874,37780,239,1808,17839,5985,81,5875,131,63731,238,152,,,MARYLAND,2014
