,State,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,StateR,Year
42,MASSACHUSETTS,Under 18,8375,987,1432,1,21,262,703,330,978,91,33,1755,11,22,4,131,478,160,2,51,274,1,23,49,508,169,567,0,1736,15,0,306.0,6054324.0,MASSACHUSETTS,2014
43,MASSACHUSETTS,Total all ages,125708,10181,17915,47,274,1464,8396,2788,14437,603,87,19689,518,1288,133,1188,2759,1293,674,436,10516,23,1130,7530,3047,6875,5594,7,34846,66,0,,,MASSACHUSETTS,2014
44,MICHIGAN,Under 18,18658,1159,4983,18,88,332,721,730,3875,326,52,2628,25,241,15,211,469,342,7,122,2294,5,13,240,1759,9,725,0,2985,0,426,551.0,9424958.0,MICHIGAN,2014
45,MICHIGAN,Total all ages,246442,11260,27848,278,641,1631,8710,3743,22631,1259,215,25648,468,4000,912,1439,2326,3606,359,604,33567,55,4505,28072,12057,415,6740,168,81967,0,426,,,MICHIGAN,2014
46,MINNESOTA,Under 18,22763,910,5452,2,112,348,448,408,4787,236,21,2357,29,123,2,283,992,407,4,169,2546,0,8,195,2555,0,2418,7,3109,0,1197,332.0,5456434.0,MINNESOTA,2014
47,MINNESOTA,Total all ages,151155,5564,27659,87,543,1151,3783,2411,24079,1086,83,14770,878,2286,64,1723,3094,1797,617,1159,19148,28,634,20586,11833,1,10149,184,27784,0,1197,,,MINNESOTA,2014
48,MISSISSIPPI,Under 18,5277,121,1355,3,7,62,49,261,1023,47,24,717,5,28,1,63,133,112,3,18,353,5,357,45,67,44,670,3,1057,5,115,73.0,1360508.0,MISSISSIPPI,2014
49,MISSISSIPPI,Total all ages,79522,1626,10006,124,83,406,1013,1457,8187,295,67,7002,478,1120,443,612,739,858,83,184,8958,72,3103,8174,1044,3898,4457,105,26316,129,115,,,MISSISSIPPI,2014
50,MISSOURI,Under 18,21790,1011,5320,25,136,322,528,595,4427,218,80,3369,20,45,17,326,923,297,6,315,2342,9,62,216,1289,19,1400,25,3756,0,1023,376.0,5679748.0,MISSOURI,2014
51,MISSOURI,Total all ages,256349,9220,37807,248,488,1747,6737,4403,31453,1767,184,25178,1429,2244,330,2634,4229,2735,376,1395,33496,116,2832,22187,6896,427,9259,548,91988,0,1023,,,MISSOURI,2014
52,MONTANA,Under 18,4838,78,1064,0,4,3,71,64,920,57,23,497,0,11,4,8,248,21,1,20,371,0,103,51,682,0,457,0,811,0,411,94.0,987530.0,MONTANA,2014
53,MONTANA,Total all ages,29766,946,4927,11,52,49,834,279,4387,226,35,3779,61,269,40,36,855,97,8,85,2205,0,269,4461,2123,0,3086,8,6100,0,411,,,MONTANA,2014
54,NEBRASKA,Under 18,11789,242,3196,8,19,77,138,228,2854,90,24,1489,6,86,13,137,778,141,0,121,1587,0,17,122,1217,0,785,0,1692,0,160,162.0,1692672.0,NEBRASKA,2014
55,NEBRASKA,Total all ages,73802,2237,10825,45,145,294,1753,734,9697,341,53,7066,331,1419,94,699,2368,1016,130,470,11965,6,1241,8372,6913,1,3188,62,15239,0,160,,,NEBRASKA,2014
56,NEVADA,Under 18,10468,867,2194,4,47,216,600,423,1596,147,28,1587,4,17,4,135,387,159,87,78,998,4,25,52,812,61,217,31,2021,1,727,34.0,2824905.0,NEVADA,2014
57,NEVADA,Total all ages,122274,7808,13639,122,279,1809,5598,2736,9987,851,65,14366,626,1513,344,1241,1500,1492,3827,1002,12508,50,946,8072,4925,211,1589,1795,44091,2,727,,,NEVADA,2014
58,NEW HAMPSHIRE,Under 18,4199,96,604,0,9,26,61,50,522,22,10,661,1,16,7,66,262,7,0,27,607,0,3,44,509,136,120,0,1012,0,21,152.0,1217941.0,NEW HAMPSHIRE,2014
59,NEW HAMPSHIRE,Total all ages,46180,864,4918,1,54,205,604,411,4390,83,34,5258,224,873,95,700,1158,108,64,143,6224,23,158,4528,3425,3259,1046,55,13036,0,21,,,NEW HAMPSHIRE,2014
60,NEW JERSEY,Under 18,21058,1579,3548,18,50,784,727,743,2598,117,90,1784,47,122,9,427,816,792,5,198,3742,37,43,133,975,0,1772,32,3210,0,1787,481.0,8525652.0,NEW JERSEY,2014
61,NEW JERSEY,Total all ages,303639,10377,30216,247,315,3327,6488,4998,24468,537,213,21541,1142,4891,321,2735,3792,3832,926,1129,52721,253,10102,23031,3797,0,14943,346,115757,0,1787,,,NEW JERSEY,2014
62,NEW MEXICO,Under 18,5254,252,1274,4,9,6,233,139,1090,34,11,727,2,17,4,40,123,63,2,11,671,0,28,48,334,7,262,3,1386,0,0,70.0,1622929.0,NEW MEXICO,2014
63,NEW MEXICO,Total all ages,81447,3813,10166,73,116,230,3394,1375,8461,287,43,7992,198,553,166,764,906,408,155,105,5529,6,1346,7384,2708,56,2251,58,36866,17,0,,,NEW MEXICO,2014
64,NEW YORK5,Under 18,22398,1692,6174,15,54,824,799,1093,4634,346,101,3097,73,202,0,482,2169,481,8,342,3293,7,42,92,342,0,959,19,2924,0,0,435.0,10093827.0,NEW YORK,2014
65,NEW YORK5,Total all ages,264268,11907,51764,210,422,3415,7860,6530,43326,1627,281,29594,2473,4874,46,3800,13593,3218,834,1938,58782,82,522,26587,2141,0,7596,788,43729,0,0,,,NEW YORK,2014
66,NORTH CAROLINA,Under 18,27216,1392,7348,34,36,558,764,1793,5339,123,93,5307,30,256,24,398,1063,1066,12,144,2480,9,53,276,770,0,2461,0,4117,0,10,321.0,8996381.0,NORTH CAROLINA,2014
67,NORTH CAROLINA,Total all ages,369728,16763,60597,494,401,3330,12538,12674,46549,1099,275,48327,1845,12783,1277,3842,6624,6398,495,1216,34695,153,6760,39743,4849,0,8729,165,114457,0,10,,,NORTH CAROLINA,2014
68,NORTH DAKOTA,Under 18,3633,47,654,0,21,5,21,37,581,31,5,301,1,15,7,17,146,21,0,15,395,0,51,32,572,0,527,0,746,0,86,101.0,711112.0,NORTH DAKOTA,2014
69,NORTH DAKOTA,Total all ages,30653,616,3132,16,54,57,489,224,2703,190,15,2334,96,374,61,151,435,356,47,69,4004,0,106,6664,3500,372,1640,2,6608,0,86,,,NORTH DAKOTA,2014
70,OHIO,Under 18,24585,975,4865,16,98,466,395,796,3755,230,84,4956,26,127,1,496,1073,327,12,149,1848,6,196,75,901,32,1784,11,6257,1,467,426.0,8531005.0,OHIO,2014
71,OHIO,Total all ages,244134,6681,37913,212,476,2084,3909,4736,32230,751,196,31504,1115,2460,48,3245,3838,3204,1528,665,36331,35,1792,34626,8094,2599,15787,25,52128,49,467,,,OHIO,2014
72,OKLAHOMA,Under 18,11177,479,3328,12,33,138,296,507,2679,96,46,922,1,37,33,287,218,219,0,46,1361,3,61,116,181,335,549,0,2003,0,998,311.0,3802453.0,OKLAHOMA,2014
73,OKLAHOMA,Total all ages,123408,4673,19023,129,236,717,3591,2301,15985,576,161,8529,547,1602,475,2479,1153,1988,138,466,17721,40,733,12741,1602,16073,2062,683,29682,0,998,,,OKLAHOMA,2014
74,OREGON,Under 18,7249,223,1951,3,17,69,134,201,1631,69,50,795,8,43,0,19,509,72,2,59,1086,0,4,46,763,0,385,0,785,0,499,101.0,2036792.0,OREGON,2014
75,OREGON,Total all ages,71804,2374,14717,43,132,535,1664,1241,12482,885,109,6823,323,1411,24,298,2382,1060,229,531,11165,0,249,6020,6077,0,5445,2,12175,0,499,,,OREGON,2014
76,PENNSYLVANIA,Under 18,57639,3164,7316,15,220,1173,1756,1096,5673,390,157,5420,69,155,17,326,1976,1083,12,448,4057,2,35,308,3317,234,8577,51,5681,0,15391,1315.0,12433961.0,PENNSYLVANIA,2014
77,PENNSYLVANIA,Total all ages,415346,21135,61383,402,1095,5590,14048,8023,50564,2323,473,43005,2258,7499,455,2457,7676,4739,2332,2230,57392,91,1779,47019,13959,23180,40711,481,60174,0,15391,,,PENNSYLVANIA,2014
78,RHODE ISLAND,Under 18,2932,98,581,3,12,33,50,130,395,28,28,485,3,5,2,58,208,98,0,20,95,0,76,15,64,0,591,0,516,0,17,48.0,1055173.0,RHODE ISLAND,2014
79,RHODE ISLAND,Total all ages,30447,782,3357,14,61,123,584,644,2546,118,49,4053,103,510,120,313,934,353,85,94,1913,19,116,2721,704,5,2783,3,11462,0,17,,,RHODE ISLAND,2014
80,SOUTH CAROLINA,Under 18,13059,570,3398,20,47,197,306,519,2767,74,38,2072,19,59,13,177,465,341,3,69,1826,0,11,54,440,67,1715,0,1730,0,30,225.0,4184786.0,SOUTH CAROLINA,2014
81,SOUTH CAROLINA,Total all ages,157253,6693,26158,224,312,1211,4946,3489,21845,701,123,17356,1349,3835,391,1859,2679,1781,608,369,26720,102,1338,11226,6790,9112,11374,633,26850,0,30,,,SOUTH CAROLINA,2014
82,SOUTH DAKOTA,Under 18,4363,75,920,0,8,8,59,85,788,40,7,390,0,62,10,30,125,29,0,16,781,0,148,56,719,9,340,0,574,0,79,120.0,761716.0,SOUTH DAKOTA,2014
83,SOUTH DAKOTA,Total all ages,35375,866,3565,9,51,59,747,309,3099,130,27,3631,75,627,35,90,452,145,51,49,5406,0,367,5990,3100,111,2285,420,8031,0,79,,,SOUTH DAKOTA,2014
84,TENNESSEE,Under 18,25985,1689,5380,21,73,381,1214,858,4175,284,63,4554,53,172,17,69,1014,469,0,112,2460,29,75,174,922,172,2269,0,4814,0,1541,460.0,6410225.0,TENNESSEE,2014
85,TENNESSEE,Total all ages,358850,17122,44517,309,352,2068,14393,5947,36210,2124,236,31152,1692,6666,763,744,4626,2971,1369,620,41493,189,3393,26657,6907,17348,8442,7,140631,0,1541,,,TENNESSEE,2014
86,TEXAS,Under 18,71377,3360,19029,45,299,1073,1943,2981,15076,832,140,10747,83,232,23,198,2406,637,93,476,11719,29,145,434,1872,1331,2107,155,13353,0,2948,984.0,26646809.0,TEXAS,2014
87,TEXAS,Total all ages,849887,29135,122822,710,1912,5995,20518,14273,103547,4494,508,91686,4866,7817,501,1079,8989,9246,4891,3547,135683,593,5207,70482,12931,75764,12141,1065,248494,0,2948,,,TEXAS,2014
88,UTAH,Under 18,16659,260,3818,2,59,46,153,229,3438,105,46,1469,7,39,2,94,955,225,31,323,1784,0,23,156,935,143,1014,18,4447,2,914,118.0,2858405.0,UTAH,2014
89,UTAH,Total all ages,118405,2206,19420,43,235,440,1488,1098,17828,410,84,9833,723,1026,31,998,2979,1080,193,808,14630,0,1274,8063,5981,4219,3615,74,40335,3,914,,,UTAH,2014
90,VERMONT,Under 18,655,31,124,0,9,2,20,32,89,1,2,141,0,2,3,6,69,7,0,7,19,0,4,10,38,0,69,0,125,0,0,61.0,556859.0,VERMONT,2014
91,VERMONT,Total all ages,11381,473,1473,11,41,25,396,209,1220,30,14,1262,36,205,46,108,261,18,14,33,661,0,183,2189,103,1,684,0,3631,0,0,,,VERMONT,2014
92,VIRGINIA,Under 18,20131,699,4167,11,60,290,338,532,3390,164,81,3425,25,128,32,104,758,284,3,147,2281,0,30,86,1018,116,797,0,4909,0,1122,356.0,8219731.0,VIRGINIA,2014
93,VIRGINIA,Total all ages,300102,6923,35123,278,471,1591,4583,3490,30626,803,204,34044,1857,5718,1609,853,3929,3197,970,833,36988,50,2282,23611,7628,26047,4136,223,102959,0,1122,,,VIRGINIA,2014
94,WASHINGTON,Under 18,15744,885,4621,10,67,335,473,752,3592,219,58,3301,19,30,1,207,864,263,10,135,1697,0,24,142,1099,0,228,1,2205,0,12,229.0,6490207.0,WASHINGTON,2014
95,WASHINGTON,Total all ages,183687,7707,35757,137,479,1851,5240,4982,29320,1248,207,26336,996,991,68,3423,5132,1739,528,661,11111,0,455,26952,3896,12,3260,141,54510,0,12,,,WASHINGTON,2014
96,WEST VIRGINIA,Under 18,1247,58,272,2,1,13,42,41,214,16,1,196,3,5,2,8,42,27,0,14,127,0,0,14,96,3,18,0,357,0,5,243.0,1379958.0,WEST VIRGINIA,2014
97,WEST VIRGINIA,Total all ages,43394,1870,7115,42,86,154,1588,705,6189,196,25,5068,296,571,150,284,649,314,76,126,5994,2,78,4723,1221,1315,634,25,12878,0,5,,,WEST VIRGINIA,2014
98,WISCONSIN,Under 18,51778,1356,10004,19,158,532,647,921,8590,434,59,2814,44,134,29,596,2237,860,40,846,3206,23,139,355,3542,0,9346,40,13353,0,2814,384.0,5557794.0,WISCONSIN,2014
99,WISCONSIN,Total all ages,281399,7487,36709,171,677,1580,5059,3163,32264,1138,144,15969,985,3022,258,1508,7073,3955,662,2239,24854,100,2703,24330,17560,0,39032,1609,88530,0,2814,,,WISCONSIN,2014
100,WYOMING,Under 18,3501,34,599,0,6,1,27,31,538,24,6,404,0,10,0,3,208,28,2,12,478,0,9,29,433,38,109,7,885,2,211,50.0,523781.0,WYOMING,2014
101,WYOMING,Total all ages,28872,453,2770,19,39,18,377,225,2418,84,43,2625,46,168,12,66,554,90,54,128,3459,1,306,3742,2008,2404,921,62,8785,7,211,,,WYOMING,2014
