,Year,State,Age,Population,NumberAgencies,TotalAll,TotalTraffick,TotalNonTraffickSex,TotalProperty,TotalViolent,CommercialSex,CommercialSexAct,InvoluntaryServitude,Rape,Sex,AggravatedAssault,AllOther,Arson,Assault,Burglary,CarTheft,CurfewLoitering,DisorderlyConduct,DrugAbuse,Drunkenness,DUI,Embezzlement,FamilyChildren,ForgeryCounterfeit,Fraud,Gambling,Larceny,LiquorLaws,MurderManslaughter,Robbery,StolenProperty,Suspicion,Vagrancy,Vandalism,Weapons
111,2013,CALIFORNIA,Over 18,0,0,1118734,10055,10414,117866,93172,10055,10055,0,1484,8930,77544,277248,720,66307,42831,12404,0,3127,208236,89113,160457,1045,262,5518,6481,379,61911,11762,1317,12827,17807,0,7018,12486,21465
112,2014,CALIFORNIA,Under 18,38716884,684,83391,181,1480,18970,7899,181,181,0,275,1205,4794,15877,293,10336,6902,1367,3236,2978,8463,1548,526,12,5,85,227,15,10408,2155,95,2735,1454,0,172,4331,3716
113,2014,CALIFORNIA,Total all ages,0,0,1217089,9153,12170,134746,106058,9153,9153,0,2443,9727,87395,299229,1053,78126,48498,13755,3236,6308,229083,89901,155285,1047,316,5222,6551,285,71440,15673,1427,14793,17379,0,8105,17175,24484
114,2014,CALIFORNIA,Over 18,0,0,1133698,8972,10690,115776,98159,8972,8972,0,2168,8522,82601,283352,760,67790,41596,12388,0,3330,220620,88353,154759,1035,311,5137,6324,270,61032,13518,1332,12058,15925,0,7933,12844,20768
115,2014,CALIFORNIA,Over 18,0,0,1133698,8972,10690,115776,98159,8972,8972,0,2168,8522,82601,283352,760,67790,41596,12388,0,3330,220620,88353,154759,1035,311,5137,6324,270,61032,13518,1332,12058,15925,0,7933,12844,20768
116,2015,CALIFORNIA,Under 18,38908726,689,67884,144,1398,15085,7207,144,144,0,253,1145,4282,12194,245,9708,5537,1504,1913,1914,6663,1104,515,17,1,75,186,19,7799,1627,87,2585,1197,0,124,3556,3490
117,2015,CALIFORNIA,Total all ages,0,0,1158479,8099,11860,127671,107454,8099,8099,0,2465,9395,87717,299745,1185,81413,44146,17303,1913,4674,206194,78534,141458,972,240,4860,6499,255,65037,12186,1431,15841,16316,8,7504,17143,25946
118,2015,CALIFORNIA,Over 18,0,0,1090595,7955,10462,112586,100247,7955,7955,0,2212,8250,83435,287551,940,71705,38609,15799,0,2760,199531,77430,140943,955,239,4785,6313,236,57238,10559,1344,13256,15119,8,7380,13587,22456
119,2015,CALIFORNIA,Over 18,0,0,1090595,7955,10462,112586,100247,7955,7955,0,2212,8250,83435,287551,940,71705,38609,15799,0,2760,199531,77430,140943,955,239,4785,6313,236,57238,10559,1344,13256,15119,8,7380,13587,22456
120,2016,CALIFORNIA,Under 18,39012007,613,58758,112,1398,12519,7015,112,112,0,275,1123,4047,9645,259,8977,4583,1508,1454,1264,6291,880,493,15,3,62,180,3,6169,1210,92,2601,982,0,101,3050,3379
121,2016,CALIFORNIA,Total all ages,0,0,1118712,7601,11782,115354,106828,7601,7601,0,2560,9222,86965,285231,1305,80835,40808,18521,1454,3906,219016,69869,129752,955,236,5000,6324,266,54720,8857,1437,15866,16500,0,6597,17202,27707
122,2016,CALIFORNIA,Over 18,0,0,1059954,7489,10384,102835,99813,7489,7489,0,2285,8099,82918,275586,1046,71858,36225,17013,0,2642,212725,68989,129259,940,233,4938,6144,263,48551,7647,1345,13265,15518,0,6496,14152,24328
