Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,NaN,NaN,41149,14350,41149
Alabama,17,67,110,112,721,269,721
Alaska,N/A,37,49,21,171,31,171
Arizona,25,114,168,205,1163,403,1163
Arkansas,18,57,80,82,516,163,516
California,96,390,573,598,4025,1564,4025
Colorado,39,104,159,150,1007,328,1007
Connecticut,11,21,42,63,330,118,330
Delaware,N/A,11,18,15,122,44,122
District of Columbia,N/A,N/A,N/A,N/A,38,13,38
Florida,51,201,346,429,2928,1253,2928
Georgia,40,123,205,206,1212,380,1212
Hawaii,N/A,28,29,26,171,51,171
Idaho,12,37,49,41,308,104,308
Illinois,48,132,206,200,1321,436,1321
Indiana,31,96,165,169,944,292,944
Iowa,16,49,75,76,447,137,447
Kansas,15,44,64,67,425,141,425
Kentucky,15,77,112,115,701,231,701
Louisiana,23,60,95,84,583,204,583
Maine,N/A,23,30,41,245,91,245
Maryland,16,70,93,79,569,184,569
Massachusetts,20,64,94,103,572,171,572
Michigan,63,133,189,231,1295,410,1295
Minnesota,31,70,117,92,678,220,678
Mississippi,11,37,58,77,388,124,388
Missouri,29,89,147,179,960,317,960
Montana,11,31,42,38,243,78,243
Nebraska,N/A,23,34,33,220,76,220
Nevada,13,37,95,66,541,206,541
New Hampshire,N/A,15,25,25,185,63,185
New Jersey,15,73,105,108,757,268,757
New Mexico,17,45,71,70,431,158,431
New York,33,156,265,254,1687,608,1687
North Carolina,34,111,183,215,1284,451,1284
North Dakota,N/A,30,26,20,128,29,128
Ohio,34,147,248,257,1526,523,1526
Oklahoma,27,62,121,104,665,216,665
Oregon,29,63,98,102,698,275,698
Pennsylvania,56,171,235,282,1788,635,1788
Rhode Island,N/A,N/A,22,26,132,45,132
South Carolina,19,69,104,107,696,264,696
South Dakota,16,22,20,28,147,32,147
Tennessee,23,93,146,188,1030,372,1030
Texas,117,333,550,491,3059,975,3059
Utah,32,63,122,110,579,152,579
Vermont,N/A,N/A,N/A,23,112,45,112
Virginia,29,104,172,188,1072,366,1072
Washington,30,106,173,142,1027,386,1027
West Virginia,11,15,47,57,323,129,323
Wisconsin,25,82,144,130,850,271,850
Wyoming,N/A,19,17,19,129,48,129
