Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,NaN,6715,42826,15241,42826
Alabama,15,59,117,142,715,244,715
Alaska,N/A,32,44,25,167,31,167
Arizona,37,116,191,190,1244,483,1244
Arkansas,19,50,84,100,515,169,515
California,87,357,606,604,4214,1680,4214
Colorado,41,109,175,198,1083,358,1083
Connecticut,N/A,40,29,53,379,146,379
Delaware,N/A,N/A,19,24,126,45,126
District of Columbia,N/A,N/A,N/A,10,52,17,52
Florida,61,227,379,397,3035,1365,3035
Georgia,30,124,195,218,1295,430,1295
Hawaii,N/A,22,39,28,204,70,204
Idaho,18,35,47,60,320,102,320
Illinois,41,146,221,211,1398,479,1398
Indiana,30,98,175,160,948,295,948
Iowa,14,56,60,59,407,125,407
Kansas,14,47,74,74,455,154,455
Kentucky,13,63,108,132,728,264,728
Louisiana,24,68,117,100,679,229,679
Maine,N/A,23,35,27,220,78,220
Maryland,16,64,75,106,606,232,606
Massachusetts,21,44,102,80,596,194,596
Michigan,54,157,213,209,1354,451,1354
Minnesota,43,76,105,109,686,221,686
Mississippi,N/A,41,67,61,380,134,380
Missouri,38,84,155,164,1017,362,1017
Montana,11,26,31,43,251,95,251
Nebraska,14,26,55,40,251,74,251
Nevada,12,46,89,86,573,231,573
New Hampshire,N/A,27,49,35,247,79,247
New Jersey,22,72,118,114,786,261,786
New Mexico,15,55,77,59,449,172,449
New York,50,157,275,247,1700,578,1700
North Carolina,46,130,200,221,1352,511,1352
North Dakota,N/A,25,21,17,137,40,137
Ohio,59,138,221,258,1491,518,1491
Oklahoma,29,80,123,132,736,226,736
Oregon,24,73,109,123,782,314,782
Pennsylvania,38,154,238,262,1817,693,1817
Rhode Island,N/A,10,20,12,113,36,113
South Carolina,26,68,108,125,753,273,753
South Dakota,N/A,26,24,23,141,31,141
Tennessee,27,101,129,179,997,346,997
Texas,127,365,581,528,3254,1005,3254
Utah,35,74,98,110,559,147,559
Vermont,N/A,15,16,17,124,45,124
Virginia,39,110,180,162,1123,409,1123
Washington,33,103,186,186,1119,383,1119
West Virginia,13,35,53,44,359,143,359
Wisconsin,33,94,114,129,769,237,769
Wyoming,N/A,14,20,22,120,36,120
