Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,NaN,7525,47511,17411,47511
Alabama,25,79,129,157,804,277,804
Alaska,19,40,51,30,210,44,210
Arizona,35,133,259,188,1419,568,1419
Arkansas,15,77,94,85,548,186,548
California,108,417,775,664,4436,1738,4436
Colorado,62,145,267,229,1312,401,1312
Connecticut,10,38,71,54,435,170,435
Delaware,N/A,N/A,19,20,111,38,111
District of Columbia,N/A,N/A,N/A,10,44,13,44
Florida,79,242,455,420,3465,1655,3465
Georgia,59,159,292,267,1585,511,1585
Hawaii,N/A,20,48,36,224,71,224
Idaho,17,44,53,65,365,137,365
Illinois,58,126,242,229,1439,530,1439
Indiana,32,102,182,153,972,338,972
Iowa,24,58,104,88,528,173,528
Kansas,26,65,104,106,523,156,523
Kentucky,24,70,125,147,756,271,756
Louisiana,29,76,103,127,704,239,704
Maine,N/A,20,41,40,276,108,276
Maryland,20,65,112,97,657,252,657
Massachusetts,11,58,103,98,647,255,647
Michigan,65,137,252,217,1472,538,1472
Minnesota,33,91,145,136,830,281,830
Mississippi,19,40,84,78,436,159,436
Missouri,38,136,192,191,1141,395,1141
Montana,12,40,49,39,289,109,289
Nebraska,N/A,35,42,62,309,106,309
Nevada,16,53,114,87,642,266,642
New Hampshire,N/A,27,48,32,255,100,255
New Jersey,21,65,112,118,762,305,762
New Mexico,26,66,96,75,513,178,513
New York,53,192,274,258,1705,631,1705
North Carolina,36,157,214,226,1358,489,1358
North Dakota,11,12,30,20,136,38,136
Ohio,70,186,305,304,1806,638,1806
Oklahoma,43,90,141,144,816,274,816
Oregon,20,98,152,130,906,340,906
Pennsylvania,56,152,300,290,1896,752,1896
Rhode Island,N/A,N/A,25,16,123,52,123
South Carolina,39,84,146,137,852,302,852
South Dakota,16,29,38,23,182,50,182
Tennessee,32,118,198,209,1219,460,1219
Texas,181,491,717,666,3891,1219,3891
Utah,40,107,122,140,654,153,654
Vermont,N/A,N/A,21,13,110,50,110
Virginia,39,131,198,168,1140,419,1140
Washington,40,120,201,197,1263,482,1263
West Virginia,11,31,59,73,330,112,330
Wisconsin,30,92,124,134,845,320,845
Wyoming,10,15,24,32,170,62,170
