Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,NaN,NaN,45979,16297,45979
Alabama,18,82,159,145,793,270,793
Alaska,13,39,55,24,204,50,204
Arizona,53,152,250,188,1363,524,1363
Arkansas,25,61,119,99,583,198,583
California,138,389,792,608,4144,1599,4144
Colorado,69,147,269,212,1302,416,1302
Connecticut,10,23,49,46,364,165,364
Delaware,N/A,10,23,23,124,48,124
District of Columbia,N/A,N/A,N/A,N/A,38,10,38
Florida,92,257,475,402,3135,1443,3135
Georgia,55,197,286,254,1491,468,1491
Hawaii,N/A,22,27,39,184,63,184
Idaho,23,46,82,75,419,129,419
Illinois,62,153,246,223,1362,443,1362
Indiana,46,124,203,162,1024,328,1024
Iowa,17,60,103,115,552,160,552
Kansas,25,77,115,85,531,147,531
Kentucky,24,89,142,149,801,275,801
Louisiana,22,63,128,100,642,205,642
Maine,N/A,20,34,39,234,99,234
Maryland,24,50,110,91,585,226,585
Massachusetts,17,57,100,96,618,226,618
Michigan,48,157,240,214,1444,545,1444
Minnesota,29,76,142,128,758,269,758
Mississippi,12,42,93,75,410,127,410
Missouri,33,137,216,191,1125,356,1125
Montana,12,37,51,34,300,129,300
Nebraska,13,30,60,56,283,85,283
Nevada,18,62,88,84,603,254,603
New Hampshire,N/A,24,43,34,234,80,234
New Jersey,24,58,114,85,679,284,679
New Mexico,26,67,106,73,516,168,516
New York,32,146,278,277,1642,626,1642
North Carolina,56,158,262,221,1441,484,1441
North Dakota,11,10,33,32,135,34,135
Ohio,54,193,302,254,1644,572,1644
Oklahoma,38,111,161,162,869,274,869
Oregon,25,77,139,132,833,337,833
Pennsylvania,46,151,295,254,1694,676,1694
Rhode Island,N/A,N/A,19,17,94,33,94
South Carolina,28,115,152,137,868,297,868
South Dakota,N/A,30,40,27,186,57,186
Tennessee,36,108,221,205,1220,436,1220
Texas,197,519,786,705,3924,1134,3924
Utah,39,89,155,106,651,150,651
Vermont,N/A,13,23,15,117,42,117
Virginia,48,159,203,177,1202,429,1202
Washington,44,128,216,200,1212,425,1212
West Virginia,N/A,35,66,63,354,128,354
Wisconsin,29,104,138,148,866,305,866
Wyoming,N/A,19,38,25,182,69,182
