Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,8020,NaN,48344,17642,48344
Alabama,30,88,148,151,823,285,823
Alaska,11,34,48,22,184,45,184
Arizona,58,154,233,202,1438,572,1438
Arkansas,19,55,104,96,554,182,554
California,119,427,726,662,4491,1767,4491
Colorado,61,145,248,222,1282,381,1282
Connecticut,N/A,34,46,52,419,185,419
Delaware,N/A,18,29,N/A,113,34,113
District of Columbia,N/A,N/A,12,10,54,15,54
Florida,77,243,428,504,3567,1708,3567
Georgia,63,166,283,256,1569,531,1569
Hawaii,N/A,19,32,30,176,65,176
Idaho,26,61,65,54,417,136,417
Illinois,57,144,257,263,1488,505,1488
Indiana,53,126,182,187,1079,343,1079
Iowa,15,57,88,79,490,163,490
Kansas,30,81,104,105,556,163,556
Kentucky,25,89,120,131,800,283,800
Louisiana,27,76,130,116,720,255,720
Maine,N/A,24,37,34,270,120,270
Maryland,23,70,91,99,650,259,650
Massachusetts,17,65,121,100,740,281,740
Michigan,80,172,259,235,1548,545,1548
Minnesota,36,84,147,116,739,213,739
Mississippi,15,51,62,74,421,164,421
Missouri,64,121,218,186,1230,440,1230
Montana,13,33,45,43,265,89,265
Nebraska,11,29,53,25,271,110,271
Nevada,28,50,99,106,657,253,657
New Hampshire,10,27,35,38,279,102,279
New Jersey,23,79,112,111,778,284,778
New Mexico,28,63,108,77,536,187,536
New York,51,162,282,254,1723,656,1723
North Carolina,52,150,219,219,1494,563,1494
North Dakota,N/A,20,38,21,147,39,147
Ohio,84,187,295,299,1838,675,1838
Oklahoma,31,77,156,136,790,260,790
Oregon,39,90,135,115,844,330,844
Pennsylvania,65,191,308,290,2014,801,2014
Rhode Island,N/A,N/A,16,23,106,44,106
South Carolina,29,93,142,124,811,291,811
South Dakota,18,26,36,17,167,44,167
Tennessee,39,100,197,190,1161,416,1161
Texas,189,446,776,642,3930,1212,3930
Utah,40,93,127,159,665,142,665
Vermont,N/A,10,21,19,125,48,125
Virginia,40,164,164,208,1243,465,1243
Washington,53,144,189,181,1252,480,1252
West Virginia,12,34,62,66,395,143,395
Wisconsin,35,79,167,136,888,315,888
Wyoming,N/A,20,20,28,147,53,147
