Location,0 to 17,18 to 24,25 to 34,35 to 44,45 to 54,55+,Total
United States,NaN,NaN,7948,NaN,47173,16550,47173
Alabama,26,83,124,148,836,309,836
Alaska,11,36,54,26,200,47,200
Arizona,47,132,245,183,1327,530,1327
Arkansas,27,70,106,101,631,214,631
California,126,435,715,617,4312,1662,4312
Colorado,71,121,228,193,1181,357,1181
Connecticut,13,43,49,57,405,157,405
Delaware,N/A,12,17,20,112,34,112
District of Columbia,N/A,N/A,11,N/A,47,10,47
Florida,73,237,436,403,3227,1460,3227
Georgia,59,155,259,228,1451,489,1451
Hawaii,N/A,31,49,32,227,78,227
Idaho,20,39,70,67,392,130,392
Illinois,73,162,252,251,1474,494,1474
Indiana,32,133,205,184,1092,320,1092
Iowa,21,58,84,75,479,163,479
Kansas,31,68,104,92,553,165,553
Kentucky,26,66,125,137,770,262,770
Louisiana,24,74,142,114,720,219,720
Maine,N/A,17,39,37,274,122,274
Maryland,24,61,121,74,630,230,630
Massachusetts,21,65,128,115,682,217,682
Michigan,60,152,229,216,1457,526,1457
Minnesota,34,89,133,129,783,256,783
Mississippi,16,46,70,84,445,142,445
Missouri,46,136,194,186,1151,385,1151
Montana,N/A,38,56,46,311,117,311
Nebraska,12,41,42,55,275,79,275
Nevada,18,62,98,93,627,240,627
New Hampshire,N/A,38,42,38,265,85,265
New Jersey,27,81,113,105,795,283,795
New Mexico,32,67,84,67,491,159,491
New York,56,162,291,264,1696,581,1696
North Carolina,44,156,256,242,1521,548,1521
North Dakota,N/A,26,49,14,154,31,154
Ohio,80,190,296,300,1740,567,1740
Oklahoma,27,111,146,125,756,236,756
Oregon,31,76,123,131,825,314,825
Pennsylvania,55,213,290,291,2030,773,2030
Rhode Island,N/A,13,19,22,129,40,129
South Carolina,27,82,139,140,838,289,838
South Dakota,17,28,35,27,191,51,191
Tennessee,47,95,186,202,1166,421,1166
Texas,195,467,713,619,3778,1152,3778
Utah,42,93,124,135,663,155,663
Vermont,N/A,10,20,25,112,31,112
Virginia,41,129,204,183,1179,414,1179
Washington,49,158,190,197,1297,481,1297
West Virginia,N/A,27,62,71,393,142,393
Wisconsin,39,87,159,139,926,330,926
Wyoming,10,17,22,27,157,53,157
